id,direction,chosenAlt,hhid,pnum,pid,personType,age,cdapActivity,schoolAtHome,schoolMaz,eligible,ArriveInterval,returnInterval,homeSchDist,schHomeDist,ad1Arr,ad1Ret,ad2Dep,ad2Ret,escortType,bundle,childid,chaufid,chaufPnum,chaufPid,chaufPersonType,chaufDArrive,chaufReturn,randNum
1830,0,0,708,1,1928,1,34,1,-1,-1,0,15,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1831,0,0,708,2,1929,1,35,1,-1,-1,0,22,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1832,1,31,708,3,1930,7,8,1,1,22353,1,17,47,366,366,22,91,15,58,2,1,1,2,1,1928,1,15,58,836499752
1833,1,31,708,4,1931,7,6,1,1,21772,1,22,53,362,362,22,91,15,58,0,0,0,0,0,0,0,0,0,836499752
1834,0,0,708,1,1928,1,34,1,-1,-1,0,15,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1835,0,0,708,2,1929,1,35,1,-1,-1,0,82,91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1836,2,1,708,3,1930,7,8,1,1,22353,1,17,47,366,366,82,91,15,58,0,0,0,0,0,0,0,0,0,29312010
1837,2,1,708,4,1931,7,6,1,1,21772,1,22,53,362,362,82,91,15,58,0,0,0,0,0,0,0,0,0,29312010
1838,0,0,712,1,1942,1,52,1,-1,-1,0,29,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1839,0,0,712,2,1943,4,46,3,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1840,0,0,712,3,1944,1,24,1,-1,-1,0,18,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1841,1,1,712,4,1945,6,17,1,1,21811,1,27,52,700,700,29,74,18,59,0,0,0,0,0,0,0,0,0,46946931
1842,0,0,712,1,1942,1,52,1,-1,-1,0,34,74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1843,0,0,712,2,1943,4,46,3,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1844,0,0,712,3,1944,1,24,1,-1,-1,0,18,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1845,2,1,712,4,1945,6,17,1,1,21811,1,27,52,700,700,34,74,18,59,0,0,0,0,0,0,0,0,0,241861272
1846,0,0,713,1,1946,2,38,2,-1,26490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1847,1,1,713,2,1947,7,13,1,1,25142,1,16,40,877,877,0,0,0,0,0,0,0,0,0,0,0,0,0,250971330
1848,0,0,713,1,1946,2,38,2,-1,26490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1849,2,1,713,2,1947,7,13,1,1,25142,1,16,40,877,877,0,0,0,0,0,0,0,0,0,0,0,0,0,315063778
1850,0,0,715,1,1950,2,38,1,-1,-1,0,27,86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1851,0,0,715,2,1951,1,45,3,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1852,1,1,715,3,1952,7,7,1,1,21772,1,28,56,362,362,27,86,0,0,0,0,0,0,0,0,0,0,0,109724068
