id,direction,chosenAlt,hhid,pnum,pid,personType,age,cdapActivity,schoolAtHome,schoolMaz,eligible,ArriveInterval,returnInterval,homeSchDist,schHomeDist,ad1Arr,ad1Ret,ad2Dep,ad2Ret,escortType,bundle,childid,chaufid,chaufPnum,chaufPid,chaufPersonType,chaufDArrive,chaufReturn,randNum
1427,1,105,618,8,1589,8,2,2,2,22837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,967961905
1428,0,0,618,1,1582,1,34,1,-1,-1,0,44,79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1429,0,0,618,2,1583,4,34,2,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1430,2,1,618,3,1584,6,17,1,1,22335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187924423
1431,2,1,618,4,1585,7,15,1,1,22335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187924423
1432,2,1,618,5,1586,7,14,1,1,21051,1,19,49,1410,1360,0,0,44,79,0,0,0,0,0,0,0,0,0,187924423
1433,2,1,618,6,1587,7,12,1,1,22046,1,19,50,577,577,0,0,44,79,0,0,0,0,0,0,0,0,0,187924423
1434,2,1,618,7,1588,7,10,1,1,23316,1,19,50,209,205,0,0,44,79,0,0,0,0,0,0,0,0,0,187924423
1435,2,1,618,8,1589,8,2,2,2,22837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187924423
1436,0,0,621,1,1593,1,46,2,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1437,0,0,621,2,1594,4,43,3,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1438,0,0,621,3,1595,1,21,2,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1439,0,0,621,4,1596,1,20,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1440,0,0,621,5,1597,1,18,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1441,0,0,621,6,1598,1,16,1,-1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1442,1,76,621,7,1599,7,15,1,1,24076,1,20,44,317,317,0,0,0,0,2,2,2,1,1,1593,1,0,0,944311007
