hhid,pnum,pumsSerialNo,persType,persTypeDetailed,age,gender,industry,schlGrade,educLevel,workPlaceType,workPlaceTaz,workPlaceMaz,schoolType,schoolTaz,schoolMaz,dailyActivityPattern,specEvtParticipant,jointTour1Role,jointTour2role,obPeChauffBund1,obPeChauffBund2,obPeChauffBund3,obRsChauffBund,obPePassBund,obRsPassBund,ibPeChauffBund1,ibPeChauffBund2,ibPeChauffBund3,ibRsChauffBund,ibPePassBund,ibRsPassBund,studentDorm,studentRent,activityString
138,2,2.011000078336E12,4,13,51,1,0,0,9,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-61-0-6-5-5-7-0-8-0]"
139,1,2.007000547328E12,2,4,69,2,62,0,12,2,473,473,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-6-5-5-0-1-0-61-0]"
139,2,2.007000547328E12,4,13,64,1,0,0,9,0,0,0,0,0,0,2,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-6-5-5-0-61-0]"
140,1,2.007000940544E12,1,1,34,2,56,0,13,2,463,463,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,"[0-412-1-412-0]"
140,2,2.007000940544E12,8,21,4,2,0,1,1,0,0,0,1,205,25073,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,"[0-3-0]"
141,1,2.010000654336E12,1,1,26,1,44,0,13,2,182,23716,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-61-5-61-42-0]"
141,2,2.010000654336E12,2,6,27,2,61,7,13,2,53,24076,2,64,25485,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0]"
142,1,2.010001440768E12,4,13,63,1,0,0,11,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-5-5-9-8-0-5-9-0]"
142,2,2.010001440768E12,1,1,62,2,45,0,9,2,186,23464,0,0,0,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0-9-1-72-1-8-62-0-5-9-0]"
143,1,2.011000471552E12,2,4,67,1,71,0,13,2,473,473,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"[0]"
