hhid,pnum,parentTourNum,tourSubTourNum,personSubTourNum,parentTourMode,carAvailability,origTaz,origMaz,primDestTaz,primDestMaz,subTourPurp,subTourMode,prelimStartInt,finalStartMin,prelimArriveInt,finalArriveMin,totObStops,totIbStops,obStopSeq,ibStopSeq
226,2,1,1,1,4,0,184,23323,138,23316,42,4,27,392.0,32,479,0,0,"[1-42]","[42-1]"
228,1,1,1,1,3,1,4,23992,186,23464,72,14,34,498.0,34,510,0,0,"[1-72]","[72-1]"
230,1,1,1,1,3,1,140,22668,17,23643,72,4,26,380.0,34,498,0,0,"[1-72]","[72-1]"
243,1,1,1,1,3,1,55,24264,67,25061,5,1,20,288.0,22,316,0,0,"[1-5]","[5-1]"
281,3,1,1,1,1,1,60,24653,67,24955,72,2,34,505.0,36,532,0,0,"[1-72]","[72-1]"
289,2,1,1,1,1,1,28,23632,136,22465,61,1,41,614.0,44,657,0,0,"[1-61]","[61-1]"
289,2,1,2,2,1,1,28,23632,17,23643,72,1,55,824.0,58,867,0,0,"[1-72]","[72-1]"
295,2,1,1,1,1,1,59,24662,174,25163,5,1,24,346.0,27,404,0,0,"[1-5]","[5-1]"
295,2,2,1,2,1,1,59,24662,17,23643,5,1,60,886.0,64,959,0,0,"[1-5]","[5-1]"
309,1,1,1,1,1,1,184,23323,67,25061,72,1,34,509.0,38,567,0,0,"[1-72]","[72-1]"
319,1,1,1,1,1,1,52,25440,67,25061,72,2,38,569.0,41,611,0,0,"[1-72]","[72-1]"
323,1,1,1,1,2,1,134,23283,186,23464,72,14,36,527.0,37,554,0,0,"[1-72]","[72-1]"
323,1,1,2,2,2,1,134,23283,111,23281,9,14,53,782.0,53,794,0,0,"[1-9]","[9-1]"
332,1,1,1,1,4,0,191,22780,18,22250,5,4,36,530.0,39,573,0,0,"[1-5]","[5-1]"
347,2,1,1,1,1,1,86,24701,100,22658,72,2,27,394.0,34,496,0,0,"[1-72]","[72-1]"
368,1,1,1,1,3,1,66,25099,66,25124,72,14,47,699.0,50,741,0,0,"[1-72]","[72-1]"
376,1,1,1,1,3,1,165,23026,18,22250,61,3,14,199.0,15,212,0,0,"[1-61]","[61-1]"
409,1,1,1,1,2,1,39,24568,200,22316,72,1,29,435.0,36,538,0,0,"[1-72]","[72-1]"
409,2,2,1,1,1,1,56,24451,174,25163,5,1,42,630.0,45,673,0,0,"[1-5]","[5-1]"
432,3,1,1,1,3,1,108,23352,94,23540,72,4,35,525.0,39,582,0,0,"[1-72]","[72-1]"
448,2,1,1,1,1,1,99,23363,148,22266,72,4,34,499.0,37,541,0,0,"[1-72]","[72-1]"
449,1,1,1,1,2,1,59,24558,100,22658,72,1,34,503.0,35,516,0,0,"[1-72]","[72-1]"
452,1,1,1,1,3,1,28,23632,17,23643,72,1,34,499.0,36,527,0,0,"[1-72]","[72-1]"
456,2,2,1,1,4,0,204,24357,92,23756,61,4,59,874.0,62,917,0,0,"[1-61]","[61-1]"
459,1,1,1,1,1,1,336,26609,336,26609,61,1,30,441.0,51,754,0,0,"[1-61]","[61-1]"
460,1,2,1,1,3,1,67,24955,58,24831,42,3,31,452.0,38,569,1,0,"[1-61-42]","[42-1]"
460,1,2,2,2,3,1,67,24955,171,24618,42,3,41,602.0,41,614,0,0,"[1-42]","[42-1]"
472,1,1,1,1,1,1,89,23698,18,22250,72,1,35,522.0,39,579,0,0,"[1-72]","[72-1]"
476,1,1,1,1,1,1,145,22113,136,22465,72,1,36,529.0,41,601,0,0,"[1-72]","[72-1]"
476,1,1,2,2,1,1,145,22113,18,22250,15,1,46,679.0,51,751,0,0,"[1-15]","[15-1]"
476,3,1,1,1,1,1,17,23643,29,23126,72,14,34,499.0,39,571,0,0,"[1-72]","[72-1]"
480,2,1,1,1,1,1,115,22553,115,22585,15,14,33,493.0,42,625,0,0,"[1-15]","[15-1]"
481,2,1,1,1,1,1,101,22333,393,22506,15,1,29,427.0,33,484,0,0,"[1-15]","[15-1]"
487,1,1,1,1,4,0,100,22658,100,22658,72,14,35,516.0,36,528,0,0,"[1-72]","[72-1]"
488,2,1,1,1,2,1,378,25630,67,25061,72,1,32,469.0,34,497,0,0,"[1-72]","[72-1]"
489,1,2,1,1,2,1,79,24358,79,24358,42,2,37,544.0,38,556,0,0,"[1-42]","[42-1]"
489,1,2,2,2,2,1,79,24358,95,23349,42,2,50,739.0,52,766,0,0,"[1-42]","[42-1]"
491,1,1,1,1,3,1,44,25072,17,23643,72,4,34,505.0,37,548,0,0,"[1-72]","[72-1]"
498,2,1,1,1,2,1,53,24192,207,22179,61,2,41,611.0,52,774,0,0,"[1-61]","[61-1]"
501,1,1,1,1,2,1,53,24076,67,25058,72,1,35,517.0,49,724,0,0,"[1-72]","[72-1]"
503,2,1,1,1,1,1,83,24105,66,25124,72,3,35,514.0,38,556,0,0,"[1-72]","[72-1]"
516,1,1,1,1,2,1,66,25124,174,25163,5,14,18,264.0,21,307,0,0,"[1-5]","[5-1]"
520,1,2,1,1,2,1,76,23925,67,25061,72,2,36,537.0,41,610,0,0,"[1-72]","[72-1]"
522,2,1,1,1,1,1,108,23287,11,23757,72,14,36,532.0,43,634,0,0,"[1-72]","[72-1]"
534,1,1,1,1,2,1,86,25064,172,25193,9,2,37,544.0,43,631,1,0,"[1-72-9]","[9-1]"
534,1,1,2,2,2,1,86,25064,138,23236,8,2,46,679.0,51,751,0,0,"[1-8]","[8-1]"
543,1,1,1,1,1,1,59,24558,67,25061,72,1,35,518.0,38,560,0,0,"[1-72]","[72-1]"
546,2,1,1,1,1,1,86,25096,67,25061,72,1,36,528.0,38,570,0,0,"[1-72]","[72-1]"
547,1,1,1,1,4,0,149,21884,194,22474,72,4,28,412.0,41,604,0,0,"[1-72]","[72-1]"
548,1,1,1,1,3,1,60,24521,66,25124,72,14,34,506.0,40,594,0,0,"[1-72]","[72-1]"
548,3,1,1,1,2,1,59,24621,57,24306,61,14,31,461.0,32,474,0,0,"[1-61]","[61-1]"
549,1,2,1,1,2,1,54,24145,167,24603,15,2,22,326.0,39,578,1,0,"[1-15-15]","[15-1]"
551,1,1,1,1,1,1,388,21612,100,22658,72,3,34,497.0,36,540,0,0,"[1-72]","[72-1]"
552,1,1,1,1,1,1,96,23509,174,25163,5,1,35,514.0,39,571,1,0,"[1-61-5]","[5-1]"
558,3,1,1,1,1,1,98,23368,79,24272,8,14,38,557.0,37,554,0,0,"[1-8]","[8-1]"
572,1,1,1,1,2,1,87,25062,204,23685,61,2,38,567.0,40,594,0,0,"[1-61]","[61-1]"
577,2,1,1,1,2,1,204,23685,66,25124,72,2,24,348.0,38,556,0,0,"[1-72]","[72-1]"
577,2,1,2,2,2,1,204,23685,78,24242,8,1,48,708.0,49,721,0,0,"[1-8]","[8-1]"
597,1,1,1,1,3,1,134,23155,67,25058,72,3,41,611.0,45,668,0,0,"[1-72]","[72-1]"
606,1,1,1,1,3,1,134,23155,164,23042,61,1,34,503.0,36,530,0,0,"[1-61]","[61-1]"
615,1,1,1,1,1,1,134,23208,384,23139,15,1,35,513.0,36,540,0,0,"[1-15]","[15-1]"
617,2,1,1,1,1,1,66,25124,67,25061,72,14,49,731.0,54,804,0,0,"[1-72]","[72-1]"
621,4,1,1,1,3,1,131,23543,138,23248,42,3,38,561.0,40,588,0,0,"[1-42]","[42-1]"
621,5,1,1,1,4,0,69,25056,66,25124,72,14,36,531.0,37,543,0,1,"[1-72]","[72-5-1]"
