hhid,direction,obBundleNum,obBundleType,ibBundleNum,ibBundleType,chauffPnum,child1Pnum,child2Pnum,child2Pnum,partySize,party,homeTaz,homeMaz,chauffTourNum,chauffTourPurp,chauffPrimDestTaz,chauffPrimDestMaz,child1TourId,child2TourId,child3TourId,child1PersTripId,child1SchoolTaz,child1SchoolMaz,child2PersTripId,child2SchoolTaz,child2SchoolMaz,child3PersTripId,child3SchoolTaz,child3SchoolMaz,obBundelDepMin,obStop1Min,obStop2Min,obStop3Min,ibStop1Min,ibStop2Min,ibStop3Min,ibBundelerrMin,obBundelDepInt,obStop1Int,obStop2Int,obStop3Int,ibStop1Int,ibStop2Int,ibStop3Int,ibBundelerrInt,numStopsAfterDropoffs
174,1,1,2,0,0,1,3,4,0,3,"[ 1,3,4 ]",40,24627,1,1,37,24163,1,1,0,1,94,23540,2,78,24009,0,0,0,18,18,18,0,0,0,0,0,257.07556,262,269,0,0.0,0,0,0,0
174,2,0,0,1,1,1,3,4,0,3,"[ 1,3,4 ]",40,24627,2,411,94,23540,1,1,0,1,94,23540,2,78,24009,0,0,0,0,0,0,0,18,18,0,47,0.0,0,0,0,692.07556,262,269,0,2
177,1,1,2,0,0,1,4,0,0,2,"[ 1,4 ]",41,22159,1,1,380,21878,1,0,0,1,195,22321,0,0,0,0,0,0,23,23,0,0,0,0,0,0,337.70816,340,0,0,0.0,0,0,0,0
181,1,1,1,0,0,1,3,0,0,2,"[ 1,3 ]",41,22195,1,411,123,22046,1,0,0,1,123,22046,0,0,0,0,0,0,16,17,0,0,0,0,0,0,236.81993,248,0,0,0.0,0,0,0,0
181,2,0,0,1,1,1,4,3,0,3,"[ 1,4,3 ]",41,22195,2,411,195,22321,1,1,0,3,195,22321,1,123,22046,0,0,0,0,0,0,0,45,17,0,50,0.0,0,0,0,746.81995,673,248,0,1
188,1,1,1,0,0,2,5,0,0,2,"[ 2,5 ]",44,25072,1,411,44,25072,1,0,0,1,44,25072,0,0,0,0,0,0,19,19,0,0,0,0,0,0,274.087,274,0,0,0.0,0,0,0,0
191,1,1,1,0,0,1,3,0,0,2,"[ 1,3 ]",44,25072,1,411,123,22046,1,0,0,1,123,22046,0,0,0,0,0,0,18,19,0,0,0,0,0,0,262.14594,283,0,0,0.0,0,0,0,0
197,2,0,0,1,1,1,6,0,0,2,"[ 1,6 ]",44,25321,1,411,44,25142,1,0,0,2,44,25142,0,0,0,0,0,0,0,0,0,0,35,0,0,36,0.0,0,0,0,534.6683,518,0,0,1
197,1,1,2,0,0,2,7,0,0,2,"[ 2,7 ]",44,25321,1,1,204,23685,1,0,0,1,44,25235,0,0,0,0,0,0,24,24,0,0,0,0,0,0,354.66824,355,0,0,0.0,0,0,0,0
200,1,1,1,0,0,2,5,4,0,3,"[ 2,5,4 ]",45,25331,1,411,44,25072,1,1,0,1,44,25072,2,44,25142,0,0,0,16,16,17,0,0,0,0,0,234.79016,236,242,0,0.0,0,0,0,0
200,1,2,1,0,0,2,3,0,0,2,"[ 2,3 ]",45,25331,2,411,358,26241,1,0,0,1,358,26241,0,0,0,0,0,0,18,19,0,0,0,0,0,0,264.79016,283,0,0,0.0,0,0,0,0
205,2,0,0,1,1,1,3,0,0,2,"[ 1,3 ]",47,25328,1,411,336,26628,1,0,0,2,336,26628,0,0,0,0,0,0,0,0,0,0,47,0,0,48,0.0,0,0,0,705.7409,697,0,0,0
206,1,1,1,0,0,1,3,0,0,2,"[ 1,3 ]",47,25357,1,411,44,25072,1,0,0,1,44,25072,0,0,0,0,0,0,23,23,0,0,0,0,0,0,333.7362,339,0,0,0.0,0,0,0,0
206,2,0,0,1,1,1,3,0,0,2,"[ 1,3 ]",47,25357,2,411,44,25072,1,0,0,1,44,25072,0,0,0,0,0,0,0,0,0,0,23,0,0,52,0.0,0,0,0,768.7362,339,0,0,1
212,1,1,2,0,0,1,4,0,0,2,"[ 1,4 ]",49,25524,1,1,59,24662,1,0,0,1,44,25072,0,0,0,0,0,0,16,17,0,0,0,0,0,0,238.07248,244,0,0,0.0,0,0,0,0
214,2,0,0,1,1,1,4,0,0,2,"[ 1,4 ]",49,25524,2,411,44,25072,1,0,0,1,44,25072,0,0,0,0,0,0,0,0,0,0,19,0,0,48,0.0,0,0,0,718.35077,274,0,0,0
214,1,1,2,0,0,2,4,0,0,2,"[ 2,4 ]",49,25524,1,1,49,25524,1,0,0,1,44,25072,0,0,0,0,0,0,18,19,0,0,0,0,0,0,268.35074,274,0,0,0.0,0,0,0,0
219,2,0,0,1,1,1,3,0,0,2,"[ 1,3 ]",50,25640,3,411,45,25331,1,0,0,2,45,25331,0,0,0,0,0,0,0,0,0,0,52,0,0,51,0.0,0,0,0,759.93475,771,0,0,2
224,1,1,1,0,0,2,4,0,0,2,"[ 2,4 ]",51,25633,1,411,65,25346,1,0,0,1,65,25346,0,0,0,0,0,0,17,17,0,0,0,0,0,0,248.07071,255,0,0,0.0,0,0,0,0
224,2,0,0,1,1,2,3,0,0,2,"[ 2,3 ]",51,25633,3,411,44,25235,1,0,0,2,44,25235,0,0,0,0,0,0,0,0,0,0,50,0,0,51,0.0,0,0,0,758.07074,741,0,0,2
228,2,0,0,1,2,1,4,6,0,3,"[ 1,4,6 ]",51,25644,1,1,51,25644,1,1,0,2,44,25072,2,17,23643,0,0,0,0,0,0,0,48,49,0,51,0.0,0,0,0,753.46814,707,733,0,0
228,1,1,1,0,0,2,5,0,0,2,"[ 2,5 ]",51,25644,1,411,174,25163,1,0,0,1,174,25163,0,0,0,0,0,0,22,22,0,0,0,0,0,0,318.46814,328,0,0,0.0,0,0,0,0
228,2,0,0,2,1,2,5,0,0,2,"[ 2,5 ]",51,25644,3,411,174,25163,1,0,0,1,174,25163,0,0,0,0,0,0,0,0,0,0,22,0,0,36,0.0,0,0,0,528.46814,328,0,0,1
230,1,1,2,0,0,1,3,0,0,2,"[ 1,3 ]",52,25402,1,1,140,22668,1,0,0,1,87,25067,0,0,0,0,0,0,23,24,0,0,0,0,0,0,335.6695,347,0,0,0.0,0,0,0,0
230,2,0,0,1,2,1,3,0,0,2,"[ 1,3 ]",52,25402,1,1,52,25402,1,0,0,1,87,25067,0,0,0,0,0,0,0,0,0,0,24,0,0,48,0.0,0,0,0,710.6695,347,0,0,2
240,1,1,1,0,0,1,4,0,0,2,"[ 1,4 ]",55,24198,1,411,393,22335,1,0,0,1,393,22335,0,0,0,0,0,0,18,19,0,0,0,0,0,0,269.85068,279,0,0,0.0,0,0,0,0
240,2,0,0,1,1,1,5,0,0,2,"[ 1,5 ]",55,24198,2,411,44,25235,1,0,0,2,44,25235,0,0,0,0,0,0,0,0,0,0,48,0,0,48,0.0,0,0,0,719.8507,716,0,0,0
243,1,1,2,0,0,1,5,0,0,2,"[ 1,5 ]",55,24264,1,1,55,24264,1,0,0,1,115,22552,0,0,0,0,0,0,19,19,0,0,0,0,0,0,273.54883,279,0,0,0.0,0,0,0,0
243,2,0,0,1,2,1,5,0,0,2,"[ 1,5 ]",55,24264,2,1,55,24264,1,0,0,1,115,22552,0,0,0,0,0,0,0,0,0,0,19,0,0,61,0.0,0,0,0,903.5488,279,0,0,0
243,1,2,1,0,0,2,3,0,0,2,"[ 2,3 ]",55,24264,1,411,358,26241,1,0,0,1,358,26241,0,0,0,0,0,0,14,16,0,0,0,0,0,0,198.54883,229,0,0,0.0,0,0,0,0
248,2,0,0,1,1,1,3,0,0,2,"[ 1,3 ]",55,24267,2,411,22,23762,1,0,0,2,22,23762,0,0,0,0,0,0,0,0,0,0,51,0,0,51,0.0,0,0,0,764.7304,762,0,0,0
248,1,1,1,0,0,2,4,0,0,2,"[ 2,4 ]",55,24267,1,411,219,20205,1,0,0,1,219,20205,0,0,0,0,0,0,19,22,0,0,0,0,0,0,284.73038,320,0,0,0.0,0,0,0,0
252,1,1,2,0,0,2,4,5,0,3,"[ 2,4,5 ]",55,24289,1,1,444,444,1,1,0,1,94,23540,2,267,20687,0,0,0,19,19,22,0,0,0,0,0,281.49335,282,321,0,0.0,0,0,0,0
256,1,1,2,0,0,1,6,0,0,2,"[ 1,6 ]",55,24341,1,1,55,24341,1,0,0,1,94,23540,0,0,0,0,0,0,18,18,0,0,0,0,0,0,259.11942,260,0,0,0.0,0,0,0,0
256,2,0,0,1,2,1,6,0,0,2,"[ 1,6 ]",55,24341,1,1,55,24341,1,0,0,1,94,23540,0,0,0,0,0,0,0,0,0,0,18,0,0,57,0.0,0,0,0,844.11945,260,0,0,3
256,1,2,2,0,0,2,5,4,0,3,"[ 2,5,4 ]",55,24341,1,1,59,24511,1,1,0,1,53,24076,2,87,25067,0,0,0,17,17,18,0,0,0,0,0,244.11942,245,261,0,0.0,0,0,0,0
264,1,1,1,0,0,2,3,0,0,2,"[ 2,3 ]",55,24452,1,411,53,24076,1,0,0,1,53,24076,0,0,0,0,0,0,18,19,0,0,0,0,0,0,269.9412,271,0,0,0.0,0,0,0,0
268,1,1,1,0,0,1,3,0,0,2,"[ 1,3 ]",57,24557,1,411,53,24076,1,0,0,1,53,24076,0,0,0,0,0,0,17,17,0,0,0,0,0,0,241.4067,242,0,0,0.0,0,0,0,0
268,2,0,0,1,1,1,3,0,0,2,"[ 1,3 ]",57,24557,2,411,53,24076,1,0,0,1,53,24076,0,0,0,0,0,0,0,0,0,0,17,0,0,24,0.0,0,0,0,346.40668,242,0,0,3
271,1,1,1,0,0,2,5,0,0,2,"[ 2,5 ]",57,24609,1,411,78,24009,1,0,0,1,78,24009,0,0,0,0,0,0,16,16,0,0,0,0,0,0,233.59773,237,0,0,0.0,0,0,0,0
271,1,2,1,0,0,2,3,0,0,2,"[ 2,3 ]",57,24609,2,411,44,25142,1,0,0,1,44,25142,0,0,0,0,0,0,21,21,0,0,0,0,0,0,308.59775,315,0,0,0.0,0,0,0,0
274,1,1,2,0,0,2,6,0,0,2,"[ 2,6 ]",57,24712,1,1,177,23244,1,0,0,1,44,25142,0,0,0,0,0,0,17,17,0,0,0,0,0,0,249.22754,255,0,0,0.0,0,0,0,0
274,2,0,0,1,2,2,5,0,0,2,"[ 2,5 ]",57,24712,1,1,57,24712,1,0,0,2,53,24076,0,0,0,0,0,0,0,0,0,0,51,0,0,52,0.0,0,0,0,774.22754,760,0,0,0
281,1,1,1,0,0,2,4,0,0,2,"[ 2,4 ]",57,24755,1,411,53,24076,1,0,0,1,53,24076,0,0,0,0,0,0,19,19,0,0,0,0,0,0,280.48938,281,0,0,0.0,0,0,0,0
282,1,1,1,0,0,1,4,6,0,3,"[ 1,4,6 ]",57,24800,1,411,44,25235,1,1,0,1,44,25235,2,138,23316,0,0,0,20,20,21,0,0,0,0,0,287.7004,294,309,0,0.0,0,0,0,0
282,2,0,0,1,1,1,6,0,0,2,"[ 1,6 ]",57,24800,3,411,138,23316,1,0,0,2,138,23316,0,0,0,0,0,0,0,0,0,0,21,0,0,55,0.0,0,0,0,812.7004,309,0,0,0
286,1,1,1,0,0,2,3,0,0,2,"[ 2,3 ]",58,24857,1,411,138,23316,1,0,0,1,138,23316,0,0,0,0,0,0,20,21,0,0,0,0,0,0,298.92758,305,0,0,0.0,0,0,0,0
286,2,0,0,1,1,2,3,0,0,2,"[ 2,3 ]",58,24857,2,411,138,23316,1,0,0,1,138,23316,0,0,0,0,0,0,0,0,0,0,21,0,0,52,0.0,0,0,0,778.92755,305,0,0,0
307,1,1,2,0,0,1,2,0,0,2,"[ 1,2 ]",63,25141,1,1,99,23296,1,0,0,1,53,24076,0,0,0,0,0,0,19,19,0,0,0,0,0,0,274.4014,278,0,0,0.0,0,0,0,0
351,1,1,2,0,0,2,5,0,0,2,"[ 2,5 ]",76,23855,1,1,174,25197,1,0,0,1,78,24009,0,0,0,0,0,0,17,17,0,0,0,0,0,0,248.87958,250,0,0,0.0,0,0,0,0
355,1,1,1,0,0,1,5,0,0,2,"[ 1,5 ]",77,23970,1,411,384,23100,1,0,0,1,384,23100,0,0,0,0,0,0,20,21,0,0,0,0,0,0,298.91846,304,0,0,0.0,0,0,0,0
355,1,2,1,0,0,1,4,0,0,2,"[ 1,4 ]",77,23970,2,411,56,24451,1,0,0,1,56,24451,0,0,0,0,0,0,22,22,0,0,0,0,0,0,328.91846,330,0,0,0.0,0,0,0,0
368,1,1,2,0,0,1,4,3,0,3,"[ 1,4,3 ]",78,24136,1,1,66,25099,1,1,0,1,164,23042,2,95,23383,0,0,0,19,20,20,0,0,0,0,0,279.03555,286,297,0,0.0,0,0,0,0
371,1,1,2,0,0,1,4,0,0,2,"[ 1,4 ]",78,24140,1,1,64,25483,1,0,0,1,83,24105,0,0,0,0,0,0,19,19,0,0,0,0,0,0,272.56226,275,0,0,0.0,0,0,0,0
371,1,2,1,0,0,2,3,0,0,2,"[ 2,3 ]",78,24140,1,411,138,23316,1,0,0,1,138,23316,0,0,0,0,0,0,23,23,0,0,0,0,0,0,332.56226,338,0,0,0.0,0,0,0,0
373,1,1,2,0,0,1,4,2,0,3,"[ 1,4,2 ]",78,24215,1,1,134,23208,1,1,0,1,56,24451,2,53,24076,0,0,0,17,17,18,0,0,0,0,0,247.73555,248,256,0,0.0,0,0,0,0
373,2,0,0,1,2,1,3,0,0,2,"[ 1,3 ]",78,24215,1,1,78,24215,1,0,0,3,393,22335,0,0,0,0,0,0,0,0,0,0,50,0,0,51,0.0,0,0,0,757.73553,745,0,0,0
379,1,1,1,0,0,1,4,0,0,2,"[ 1,4 ]",78,24221,1,411,56,24451,1,0,0,1,56,24451,0,0,0,0,0,0,22,22,0,0,0,0,0,0,328.27112,328,0,0,0.0,0,0,0,0
379,2,0,0,1,1,1,3,4,0,3,"[ 1,3,4 ]",78,24221,2,411,87,25067,1,1,0,2,87,25067,1,56,24451,0,0,0,0,0,0,0,49,22,0,50,0.0,0,0,0,748.2711,727,328,0,0
391,1,1,1,0,0,2,5,0,0,2,"[ 2,5 ]",78,24427,1,411,123,22046,1,0,0,1,123,22046,0,0,0,0,0,0,21,21,0,0,0,0,0,0,300.72046,311,0,0,0.0,0,0,0,0
395,1,1,2,0,0,1,5,0,0,2,"[ 1,5 ]",79,24171,1,1,174,25163,1,0,0,1,94,23540,0,0,0,0,0,0,19,19,0,0,0,0,0,0,282.60693,285,0,0,0.0,0,0,0,0
396,2,0,0,1,1,1,4,0,0,2,"[ 1,4 ]",79,24189,1,411,53,24076,1,0,0,2,53,24076,0,0,0,0,0,0,0,0,0,0,42,0,0,43,0.0,0,0,0,639.3425,622,0,0,1
396,2,0,0,2,1,3,5,0,0,2,"[ 3,5 ]",79,24189,2,411,37,24209,1,0,0,2,37,24209,0,0,0,0,0,0,0,0,0,0,53,0,0,53,0.0,0,0,0,789.3425,788,0,0,2
401,1,1,1,0,0,2,5,0,0,2,"[ 2,5 ]",79,24310,1,411,79,24419,1,0,0,1,79,24419,0,0,0,0,0,0,20,20,0,0,0,0,0,0,297.6222,298,0,0,0.0,0,0,0,0
401,1,2,1,0,0,2,3,0,0,2,"[ 2,3 ]",79,24310,2,411,131,23535,1,0,0,1,131,23535,0,0,0,0,0,0,24,25,0,0,0,0,0,0,357.6222,363,0,0,0.0,0,0,0,0
401,2,0,0,1,1,2,5,0,0,2,"[ 2,5 ]",79,24310,3,411,79,24419,1,0,0,1,79,24419,0,0,0,0,0,0,0,0,0,0,20,0,0,51,0.0,0,0,0,762.6222,298,0,0,0
401,2,0,0,2,1,2,3,0,0,2,"[ 2,3 ]",79,24310,4,411,131,23535,1,0,0,1,131,23535,0,0,0,0,0,0,0,0,0,0,25,0,0,54,0.0,0,0,0,807.6222,363,0,0,0
405,1,1,1,0,0,1,4,0,0,2,"[ 1,4 ]",79,24358,1,411,87,25067,1,0,0,1,87,25067,0,0,0,0,0,0,23,23,0,0,0,0,0,0,331.49167,338,0,0,0.0,0,0,0,0
405,2,0,0,1,1,1,4,0,0,2,"[ 1,4 ]",79,24358,4,411,87,25067,1,0,0,1,87,25067,0,0,0,0,0,0,0,0,0,0,23,0,0,51,0.0,0,0,0,751.4917,338,0,0,0
409,1,1,2,0,0,1,4,0,0,2,"[ 1,4 ]",79,24518,1,1,39,24568,1,0,0,1,358,26241,0,0,0,0,0,0,20,21,0,0,0,0,0,0,285.98373,313,0,0,0.0,0,0,0,0
409,1,2,2,0,0,2,5,0,0,2,"[ 2,5 ]",79,24518,1,1,56,24451,1,0,0,1,87,25067,0,0,0,0,0,0,22,22,0,0,0,0,0,0,315.98373,323,0,0,0.0,0,0,0,0
420,1,1,2,0,0,1,3,0,0,2,"[ 1,3 ]",80,24046,1,1,447,447,1,0,0,1,358,26241,0,0,0,0,0,0,20,22,0,0,0,0,0,0,292.7365,320,0,0,0.0,0,0,0,0
430,1,1,2,0,0,1,3,0,0,2,"[ 1,3 ]",81,23824,1,1,84,24522,1,0,0,1,53,24076,0,0,0,0,0,0,18,18,0,0,0,0,0,0,261.42993,265,0,0,0.0,0,0,0,0
430,1,2,1,0,0,2,4,0,0,2,"[ 2,4 ]",81,23824,1,411,393,22335,1,0,0,1,393,22335,0,0,0,0,0,0,18,18,0,0,0,0,0,0,261.42993,266,0,0,0.0,0,0,0,0
432,2,0,0,1,1,2,4,5,0,3,"[ 2,4,5 ]",81,23827,2,411,53,24076,1,1,0,2,53,24076,2,79,24419,0,0,0,0,0,0,0,47,48,0,49,0.0,0,0,0,720.0417,703,715,0,0
439,1,1,2,0,0,1,3,0,0,2,"[ 1,3 ]",81,24043,1,1,81,24043,1,0,0,1,393,22335,0,0,0,0,0,0,18,18,0,0,0,0,0,0,260.76956,266,0,0,0.0,0,0,0,0
439,2,0,0,1,1,1,4,0,0,2,"[ 1,4 ]",81,24043,2,411,79,24419,1,0,0,2,79,24419,0,0,0,0,0,0,0,0,0,0,55,0,0,56,0.0,0,0,0,830.7696,824,0,0,0
447,1,1,1,0,0,1,3,0,0,2,"[ 1,3 ]",83,24157,1,411,56,24451,1,0,0,1,56,24451,0,0,0,0,0,0,19,19,0,0,0,0,0,0,274.01096,278,0,0,0.0,0,0,0,0
447,2,0,0,1,1,1,2,0,0,2,"[ 1,2 ]",83,24157,2,411,87,25067,1,0,0,3,87,25067,0,0,0,0,0,0,0,0,0,0,56,0,0,56,0.0,0,0,0,829.011,831,0,0,0
449,1,1,2,0,0,1,2,0,0,2,"[ 1,2 ]",83,24326,1,1,59,24558,1,0,0,1,79,24419,0,0,0,0,0,0,20,20,0,0,0,0,0,0,293.56946,295,0,0,0.0,0,0,0,0
450,1,1,1,0,0,1,4,3,0,3,"[ 1,4,3 ]",83,24469,2,411,174,25159,1,1,0,1,174,25159,2,123,22046,0,0,0,22,22,24,0,0,0,0,0,320.95706,328,351,0,0.0,0,0,0,0
452,1,1,2,0,0,1,3,0,0,2,"[ 1,3 ]",83,24497,1,1,28,23632,1,0,0,1,87,25067,0,0,0,0,0,0,20,20,0,0,0,0,0,0,289.8128,295,0,0,0.0,0,0,0,0
