hhid,jointTourNum,chauffPnum,passPnums,partySize,partyType,party,origTaz,origMaz,primaryDestTaz,primaryDestMaz,tourPurpose,chauffTourMode,passTourMode,prelimDepartInterval,finalDepartMinute,prelimArriveInterval,finalArriveMinute,totalObStops,totalIbStops,obStopSeq,ibStopSeq
197,1,1,"[ 6 ]",2,3,"[ 1,6 ]",44,25321,57,24800,6,2,4,62,924.0,65,964,1,4,"[0-6-6]","[6-6-6-6-5-0]"
197,2,1,"[ 4 ]",2,3,"[ 1,4 ]",44,25321,200,22261,7,2,4,70,1044.0,75,1114,0,0,"[0-7]","[7-0]"
199,1,1,"[ 2 ]",2,1,"[ 1,2 ]",45,25143,163,23403,8,3,4,56,838.0,80,1193,2,3,"[0-8-7-8]","[8-5-5-7-0]"
201,1,1,"[ 2 ]",2,1,"[ 1,2 ]",47,25078,18,22250,5,2,4,32,471.0,42,630,2,2,"[0-5-5-5]","[5-5-5-0]"
208,1,1,"[ 3 ]",2,3,"[ 1,3 ]",48,25470,49,25524,8,2,4,61,911.0,68,1011,0,0,"[0-8]","[8-0]"
211,1,1,"[ 4 ]",2,3,"[ 1,4 ]",48,25631,14,23658,8,2,4,64,948.0,69,1032,0,0,"[0-8]","[8-0]"
220,1,1,"[ 3 ]",2,3,"[ 1,3 ]",50,25640,39,24826,6,2,4,36,529.0,37,554,0,0,"[0-6]","[6-0]"
220,2,2,"[ 1 ]",2,1,"[ 2,1 ]",50,25640,59,24577,6,2,4,61,904.0,69,1034,0,4,"[0-6]","[6-6-6-6-6-0]"
227,1,2,"[ 3,4 ]",3,3,"[ 2,3,4 ]",51,25644,352,26140,6,3,4,75,1122.0,81,1206,0,0,"[0-6]","[6-0]"
228,1,1,"[ 5,6,2 ]",4,3,"[ 1,5,6,2 ]",51,25644,147,22458,5,3,4,55,813.0,61,912,0,5,"[0-5]","[5-5-5-5-5-5-0]"
228,2,2,"[ 4 ]",2,3,"[ 2,4 ]",51,25644,57,24801,6,2,4,65,963.0,76,1137,0,5,"[0-6]","[6-7-6-6-6-7-0]"
237,1,2,"[ 3,5 ]",3,3,"[ 2,3,5 ]",55,24177,174,25163,5,3,4,33,482.0,42,626,1,4,"[0-7-5]","[5-5-6-5-5-0]"
237,2,3,"[ 5,6 ]",3,3,"[ 3,5,6 ]",55,24177,15,23940,5,3,4,50,737.0,61,911,3,2,"[0-6-7-9-5]","[5-7-7-0]"
240,1,1,"[ 4 ]",2,3,"[ 1,4 ]",55,24198,174,25163,5,2,4,61,914.0,70,1044,3,2,"[0-7-6-7-5]","[5-5-6-0]"
248,1,2,"[ 4 ]",2,3,"[ 2,4 ]",55,24267,78,24217,9,3,4,55,824.0,66,984,1,3,"[0-6-9]","[9-9-5-5-0]"
