hhid,jointTourNum,chauffPnum,passPnums,partySize,partyType,party,origTaz,origMaz,primaryDestTaz,primaryDestMaz,tourPurpose,chauffTourMode,passTourMode,prelimDepartInterval,finalDepartMinute,prelimArriveInterval,finalArriveMinute,totalObStops,totalIbStops,obStopSeq,ibStopSeq
757,1,1,"[ 2 ]",2,1,"[ 1,2 ]",121,22134,101,22333,7,2,4,61,913.0,73,1088,1,0,"[0-6-7]","[7-0]"
758,1,1,"[ 2 ]",2,1,"[ 1,2 ]",121,22134,18,22250,5,2,4,70,1037.0,72,1076,1,3,"[0-7-5]","[5-5-6-6-0]"
758,2,2,"[ 3 ]",2,1,"[ 2,3 ]",121,22134,206,22363,5,2,4,59,872.0,67,1001,1,4,"[0-6-5]","[5-5-5-5-5-0]"
762,1,2,"[ 1 ]",2,1,"[ 2,1 ]",121,22192,18,22250,5,2,4,63,942.0,75,1116,4,1,"[0-5-5-6-5-5]","[5-5-0]"
776,1,3,"[ 4 ]",2,2,"[ 3,4 ]",122,21927,184,23343,6,16,16,29,421.0,38,566,4,1,"[0-6-6-6-6-6]","[6-7-0]"
776,2,3,"[ 4 ]",2,2,"[ 3,4 ]",122,21927,117,22133,7,16,16,46,676.0,52,776,0,0,"[0-7]","[7-0]"
806,1,1,"[ 4 ]",2,3,"[ 1,4 ]",126,21840,123,22101,9,2,4,66,982.0,75,1112,0,0,"[0-9]","[9-0]"
812,1,2,"[ 1 ]",2,1,"[ 2,1 ]",127,21472,101,22333,7,2,4,63,932.0,71,1061,0,0,"[0-7]","[7-0]"
819,1,1,"[ 2,5 ]",3,3,"[ 1,2,5 ]",128,21481,174,25163,5,3,4,63,937.0,67,991,1,0,"[0-7-5]","[5-0]"
819,2,2,"[ 3 ]",2,3,"[ 2,3 ]",128,21481,66,25124,5,2,4,69,1027.0,75,1111,3,1,"[0-7-6-5-5]","[5-5-0]"
820,1,1,"[ 2 ]",2,1,"[ 1,2 ]",128,21482,59,24622,6,2,4,34,506.0,44,651,0,5,"[0-6]","[6-6-6-6-7-5-0]"
826,1,1,"[ 3 ]",2,1,"[ 1,3 ]",130,23321,18,22250,5,3,4,30,444.0,44,648,1,4,"[0-6-5]","[5-5-5-5-5-0]"
826,2,1,"[ 2 ]",2,1,"[ 1,2 ]",130,23321,207,22179,5,14,14,48,714.0,50,738,0,2,"[0-5]","[5-6-6-0]"
829,1,1,"[ 2 ]",2,3,"[ 1,2 ]",130,23322,189,23077,9,2,4,57,853.0,67,997,0,0,"[0-9]","[9-0]"
834,1,1,"[ 7 ]",2,3,"[ 1,7 ]",130,23326,8,23867,9,2,4,54,801.0,64,946,0,3,"[0-9]","[9-6-6-7-0]"
834,2,1,"[ 4 ]",2,3,"[ 1,4 ]",130,23326,171,24618,7,2,4,68,1011.0,76,1126,2,2,"[0-5-8-7]","[7-5-5-0]"
862,1,1,"[ 3,9,2,8 ]",5,3,"[ 1,3,9,2,8 ]",138,23149,174,25163,5,3,4,27,392.0,47,702,2,3,"[0-9-7-5]","[5-7-7-7-0]"
862,2,1,"[ 5,9,8 ]",4,3,"[ 1,5,9,8 ]",138,23149,18,22250,5,3,4,53,782.0,58,867,0,2,"[0-5]","[5-5-5-0]"
865,1,1,"[ 4,2 ]",3,3,"[ 1,4,2 ]",138,23218,92,23753,6,3,4,68,1018.0,73,1087,0,0,"[0-6]","[6-0]"
866,1,1,"[ 2 ]",2,1,"[ 1,2 ]",138,23236,186,23441,7,2,4,68,1006.0,71,1060,0,0,"[0-7]","[7-0]"
871,1,1,"[ 2 ]",2,1,"[ 1,2 ]",138,23238,186,23441,7,2,4,52,776.0,52,770,0,0,"[0-7]","[7-0]"
873,1,7,"[ 1 ]",2,1,"[ 7,1 ]",138,23239,174,25163,5,3,4,30,447.0,43,636,1,4,"[0-7-5]","[5-5-5-5-5-0]"
873,2,7,"[ 3,2 ]",3,1,"[ 7,3,2 ]",138,23239,134,23208,6,3,4,59,882.0,75,1116,1,2,"[0-9-6]","[6-7-7-0]"
875,1,2,"[ 1 ]",2,1,"[ 2,1 ]",138,23240,202,22115,7,2,4,59,882.0,67,996,0,1,"[0-7]","[7-5-0]"
887,1,1,"[ 2 ]",2,3,"[ 1,2 ]",138,23303,174,25197,5,3,4,40,598.0,52,773,0,5,"[0-5]","[5-6-7-5-5-5-0]"
897,1,1,"[ 2 ]",2,1,"[ 1,2 ]",138,23338,67,25061,7,3,4,71,1059.0,75,1113,0,0,"[0-7]","[7-0]"
902,1,1,"[ 2 ]",2,3,"[ 1,2 ]",139,22875,184,23343,6,2,4,29,434.0,38,564,2,3,"[0-6-6-6]","[6-5-5-5-0]"
902,2,1,"[ 3 ]",2,3,"[ 1,3 ]",139,22875,186,23441,9,2,4,64,959.0,74,1104,0,4,"[0-9]","[9-8-5-5-5-0]"
903,1,1,"[ 2 ]",2,1,"[ 1,2 ]",139,22876,134,23283,6,3,4,44,659.0,54,804,0,4,"[0-6]","[6-6-5-5-6-0]"
908,1,1,"[ 2 ]",2,1,"[ 1,2 ]",139,22980,194,22474,7,2,4,2,26.0,11,156,0,1,"[0-7]","[7-5-0]"
909,1,2,"[ 1 ]",2,1,"[ 2,1 ]",139,22981,194,22474,7,2,4,58,863.0,73,1082,2,2,"[0-6-6-7]","[7-5-5-0]"
919,1,1,"[ 2 ]",2,3,"[ 1,2 ]",140,22668,186,23464,7,2,4,65,965.0,72,1079,1,4,"[0-6-7]","[7-6-5-6-5-0]"
924,1,1,"[ 2 ]",2,1,"[ 1,2 ]",140,22721,141,22435,6,3,4,53,788.0,58,858,0,5,"[0-6]","[6-6-6-6-6-5-0]"
945,1,1,"[ 2 ]",2,1,"[ 1,2 ]",143,22605,136,22465,9,3,4,16,236.0,23,335,0,2,"[0-9]","[9-5-5-0]"
952,1,1,"[ 3 ]",2,3,"[ 1,3 ]",143,22644,206,22363,6,2,4,67,996.0,75,1125,1,4,"[0-5-6]","[6-5-6-6-6-0]"
952,2,2,"[ 4 ]",2,3,"[ 2,4 ]",143,22644,194,22474,9,2,4,62,921.0,75,1125,0,2,"[0-9]","[9-5-7-0]"
967,1,1,"[ 3 ]",2,3,"[ 1,3 ]",146,22284,165,23034,8,3,4,68,1017.0,76,1132,0,4,"[0-8]","[8-6-5-5-5-0]"
978,1,1,"[ 4 ]",2,3,"[ 1,4 ]",146,22758,208,22473,6,2,4,55,819.0,67,993,1,4,"[0-9-6]","[6-5-5-5-5-0]"
987,1,2,"[ 1 ]",2,1,"[ 2,1 ]",146,22844,18,22250,5,2,4,29,429.0,43,634,0,5,"[0-5]","[5-5-5-5-5-5-0]"
993,1,2,"[ 3 ]",2,3,"[ 2,3 ]",148,22178,207,22179,5,3,4,59,878.0,71,1052,1,1,"[0-5-5]","[5-5-0]"
1003,1,1,"[ 5 ]",2,3,"[ 1,5 ]",148,22266,165,23109,9,3,4,67,993.0,75,1122,0,4,"[0-9]","[9-5-9-9-7-0]"
1004,1,2,"[ 3 ]",2,3,"[ 2,3 ]",148,22266,143,22476,9,3,4,1,14.0,14,203,0,5,"[0-9]","[9-9-5-6-6-5-0]"
1005,1,2,"[ 7 ]",2,3,"[ 2,7 ]",148,22301,165,23026,9,3,4,55,822.0,68,1011,2,2,"[0-5-5-9]","[9-5-6-0]"
1005,2,2,"[ 4 ]",2,3,"[ 2,4 ]",148,22301,207,22179,5,3,4,77,1152.0,89,1326,0,5,"[0-5]","[5-5-5-5-5-5-0]"
1007,1,1,"[ 4,2 ]",3,3,"[ 1,4,2 ]",148,22362,95,23307,9,3,4,58,858.0,65,973,0,1,"[0-9]","[9-5-0]"
1019,1,1,"[ 3 ]",2,3,"[ 1,3 ]",149,21947,194,22474,7,3,4,63,938.0,66,977,0,0,"[0-7]","[7-0]"
1020,1,1,"[ 2 ]",2,1,"[ 1,2 ]",149,21978,18,22250,5,3,4,30,437.0,35,521,1,2,"[0-5-5]","[5-5-5-0]"
1024,1,1,"[ 2 ]",2,1,"[ 1,2 ]",149,22032,18,22250,5,16,16,35,519.0,43,634,0,4,"[0-5]","[5-5-5-5-5-0]"
1043,1,2,"[ 1 ]",2,1,"[ 2,1 ]",152,21594,145,22113,5,2,4,35,512.0,46,687,3,2,"[0-9-5-6-5]","[5-5-5-0]"
1065,1,1,"[ 2 ]",2,1,"[ 1,2 ]",153,21498,165,23032,8,2,4,54,800.0,76,1139,0,4,"[0-8]","[8-5-5-5-5-0]"
1065,2,2,"[ 3 ]",2,1,"[ 2,3 ]",153,21498,196,21863,5,2,4,27,395.0,39,584,0,5,"[0-5]","[5-7-5-5-5-5-0]"
1067,1,3,"[ 4 ]",2,1,"[ 3,4 ]",153,21553,379,21622,9,3,4,68,1011.0,75,1125,2,2,"[0-7-6-9]","[9-5-5-0]"
1076,1,1,"[ 2 ]",2,1,"[ 1,2 ]",156,21664,165,23041,9,2,4,24,346.0,34,505,2,0,"[0-6-5-9]","[9-0]"
1082,1,1,"[ 2 ]",2,1,"[ 1,2 ]",156,21748,176,23219,8,2,4,57,842.0,72,1076,2,2,"[0-5-6-8]","[8-7-7-0]"
1088,1,1,"[ 3 ]",2,3,"[ 1,3 ]",157,21545,159,21619,6,3,4,70,1043.0,73,1082,0,0,"[0-6]","[6-0]"
1088,2,2,"[ 3 ]",2,3,"[ 2,3 ]",157,21545,157,21504,5,2,4,58,863.0,67,992,1,1,"[0-5-5]","[5-6-0]"
1090,1,1,"[ 3,2 ]",3,3,"[ 1,3,2 ]",159,21619,200,22234,9,3,4,61,912.0,66,981,1,1,"[0-5-9]","[9-5-0]"
1097,1,1,"[ 2,3 ]",3,3,"[ 1,2,3 ]",160,21669,18,22250,5,3,4,28,407.0,37,551,0,5,"[0-5]","[5-5-7-5-6-5-0]"
1104,1,1,"[ 2 ]",2,1,"[ 1,2 ]",161,21462,18,22250,5,3,4,32,466.0,41,611,0,5,"[0-5]","[5-7-5-7-5-5-0]"
1127,1,1,"[ 3 ]",2,1,"[ 1,3 ]",162,21639,381,21971,5,2,4,58,859.0,62,928,0,1,"[0-5]","[5-5-0]"
1127,2,2,"[ 5,3 ]",3,3,"[ 2,5,3 ]",162,21639,134,23283,6,3,4,31,454.0,44,658,0,5,"[0-6]","[6-6-5-5-5-5-0]"
1134,1,1,"[ 2 ]",2,1,"[ 1,2 ]",163,23403,184,23323,6,2,4,52,770.0,59,884,0,1,"[0-6]","[6-6-0]"
1158,1,5,"[ 3 ]",2,3,"[ 5,3 ]",165,23032,100,22658,9,2,4,52,777.0,55,816,0,0,"[0-9]","[9-0]"
1175,1,2,"[ 1 ]",2,1,"[ 2,1 ]",165,23041,18,22270,7,14,14,64,954.0,76,1129,1,3,"[0-5-7]","[7-5-7-5-0]"
1196,1,1,"[ 2,4,5 ]",4,3,"[ 1,2,4,5 ]",169,24799,59,24662,6,3,4,68,1014.0,73,1083,0,3,"[0-6]","[6-6-5-6-0]"
1205,1,2,"[ 3 ]",2,3,"[ 2,3 ]",171,24561,134,23283,6,3,4,55,814.0,64,958,0,5,"[0-6]","[6-6-7-5-5-6-0]"
1212,1,1,"[ 3 ]",2,3,"[ 1,3 ]",172,25181,172,25243,6,2,4,63,944.0,76,1134,2,2,"[0-9-9-6]","[6-5-5-0]"
1216,1,2,"[ 3 ]",2,3,"[ 2,3 ]",172,25182,174,25163,5,2,4,49,731.0,53,786,0,0,"[0-5]","[5-0]"
1251,1,2,"[ 1 ]",2,1,"[ 2,1 ]",181,23465,134,23208,6,2,4,35,520.0,41,604,0,0,"[0-6]","[6-0]"
1261,1,2,"[ 6 ]",2,3,"[ 2,6 ]",183,23204,134,23208,8,2,4,65,971.0,76,1131,0,4,"[0-8]","[8-6-8-6-5-0]"
1266,1,2,"[ 1 ]",2,1,"[ 2,1 ]",183,23205,18,22250,5,2,4,60,898.0,65,968,0,0,"[0-5]","[5-0]"
1273,1,1,"[ 4 ]",2,3,"[ 1,4 ]",183,23246,165,23041,9,2,4,67,992.0,76,1137,0,0,"[0-9]","[9-0]"
1273,2,2,"[ 4 ]",2,3,"[ 2,4 ]",183,23246,134,23208,6,3,4,78,1157.0,83,1242,0,2,"[0-6]","[6-7-6-0]"
1279,1,1,"[ 3 ]",2,3,"[ 1,3 ]",188,22725,95,23383,9,3,4,54,810.0,71,1060,0,4,"[0-9]","[9-6-7-6-7-0]"
1285,1,2,"[ 1 ]",2,1,"[ 2,1 ]",189,23076,134,23283,6,3,4,30,440.0,40,599,1,3,"[0-9-6]","[6-7-5-7-0]"
1289,1,1,"[ 2 ]",2,1,"[ 1,2 ]",191,22722,142,22369,9,2,4,57,841.0,68,1016,0,1,"[0-9]","[9-6-0]"
1291,1,1,"[ 2 ]",2,1,"[ 1,2 ]",191,22731,207,22179,5,3,4,78,1160.0,84,1260,0,1,"[0-5]","[5-5-0]"
1291,2,2,"[ 3 ]",2,1,"[ 2,3 ]",191,22731,193,22267,7,3,4,65,965.0,74,1110,1,0,"[0-5-7]","[7-0]"
1303,1,1,"[ 2 ]",2,1,"[ 1,2 ]",193,22267,18,22250,5,2,4,61,902.0,68,1017,2,3,"[0-6-5-5]","[5-6-5-5-0]"
1317,1,1,"[ 2 ]",2,1,"[ 1,2 ]",198,22573,18,22250,6,2,4,39,574.0,53,793,0,5,"[0-6]","[6-7-6-6-5-5-0]"
1318,1,2,"[ 1 ]",2,1,"[ 2,1 ]",198,22573,15,23940,6,2,4,61,901.0,69,1030,0,5,"[0-6]","[6-6-6-6-7-5-0]"
1320,1,1,"[ 2 ]",2,1,"[ 1,2 ]",198,22573,134,23283,6,3,4,34,504.0,44,649,1,4,"[0-6-6]","[6-5-5-5-5-0]"
1324,1,2,"[ 1 ]",2,1,"[ 2,1 ]",198,22588,18,22250,5,2,4,32,476.0,44,651,1,4,"[0-5-5]","[5-5-5-7-5-0]"
1339,1,1,"[ 2 ]",2,1,"[ 1,2 ]",198,22620,194,22474,6,2,4,25,367.0,41,601,1,4,"[0-8-6]","[6-6-7-6-6-0]"
1345,1,1,"[ 2 ]",2,1,"[ 1,2 ]",198,22771,134,23208,6,2,4,48,711.0,58,856,1,4,"[0-7-6]","[6-9-5-5-5-0]"
1364,1,1,"[ 2 ]",2,1,"[ 1,2 ]",198,22957,184,23343,6,2,4,27,397.0,35,511,0,5,"[0-6]","[6-5-5-5-5-5-0]"
1367,1,1,"[ 3,2 ]",3,3,"[ 1,3,2 ]",198,22957,66,25124,7,3,4,61,910.0,72,1070,1,3,"[0-7-7]","[7-5-5-5-0]"
1368,1,2,"[ 3 ]",2,3,"[ 2,3 ]",198,22957,18,22250,5,2,4,60,890.0,66,989,1,4,"[0-5-5]","[5-5-5-5-5-0]"
1381,1,1,"[ 5,3,4 ]",4,3,"[ 1,5,3,4 ]",203,22035,200,22315,7,3,4,62,926.0,72,1070,0,3,"[0-7]","[7-5-5-5-0]"
1385,1,1,"[ 2 ]",2,3,"[ 1,2 ]",205,25073,163,23403,9,3,4,58,867.0,61,907,0,1,"[0-9]","[9-8-0]"
1386,1,1,"[ 5 ]",2,3,"[ 1,5 ]",205,25073,136,22795,7,2,4,60,896.0,67,996,0,1,"[0-7]","[7-8-0]"
1396,1,2,"[ 4 ]",2,1,"[ 2,4 ]",209,21414,184,23323,6,2,4,68,1014.0,71,1054,1,0,"[0-6-6]","[6-0]"
1397,1,1,"[ 2 ]",2,1,"[ 1,2 ]",210,21196,152,21719,9,3,4,15,213.0,17,252,0,0,"[0-9]","[9-0]"
1397,2,1,"[ 2 ]",2,1,"[ 1,2 ]",210,21196,152,21762,9,3,4,69,1023.0,75,1122,0,0,"[0-9]","[9-0]"
1407,1,1,"[ 2 ]",2,3,"[ 1,2 ]",210,21345,18,22250,5,2,4,55,825.0,61,909,0,1,"[0-5]","[5-9-0]"
1415,1,1,"[ 2 ]",2,1,"[ 1,2 ]",214,21066,134,23208,6,2,4,61,912.0,72,1072,2,3,"[0-7-6-6]","[6-6-6-5-0]"
1420,1,3,"[ 2 ]",2,1,"[ 3,2 ]",219,20205,222,20154,7,2,4,65,974.0,78,1164,0,1,"[0-7]","[7-5-0]"
1422,1,1,"[ 2,3 ]",3,3,"[ 1,2,3 ]",219,20205,219,20287,9,14,14,35,517.0,49,722,1,0,"[0-6-9]","[9-0]"
1422,2,1,"[ 2,3 ]",3,3,"[ 1,2,3 ]",219,20205,222,20154,5,3,4,65,967.0,67,992,0,0,"[0-5]","[5-0]"
1429,1,6,"[ 1,3 ]",3,3,"[ 6,1,3 ]",219,20217,221,20375,5,14,14,39,585.0,47,700,1,1,"[0-8-5]","[5-5-0]"
1429,2,6,"[ 1,5 ]",3,3,"[ 6,1,5 ]",219,20217,221,20375,5,14,14,60,900.0,62,925,2,0,"[0-5-8-5]","[5-0]"
1432,1,1,"[ 2 ]",2,1,"[ 1,2 ]",219,20236,222,20154,5,14,14,34,497.0,44,656,1,0,"[0-5-5]","[5-0]"
1436,1,1,"[ 2 ]",2,1,"[ 1,2 ]",219,20467,222,20154,6,14,14,25,369.0,39,574,2,0,"[0-5-9-6]","[6-0]"
1448,1,2,"[ 1 ]",2,1,"[ 2,1 ]",222,20154,222,20154,5,2,4,25,363.0,39,583,1,2,"[0-5-5]","[5-5-5-0]"
1450,1,2,"[ 1 ]",2,1,"[ 2,1 ]",222,20154,222,20152,9,14,14,27,391.0,42,625,1,0,"[0-7-9]","[9-0]"
1457,1,1,"[ 5 ]",2,3,"[ 1,5 ]",223,20216,222,20154,5,2,4,38,560.0,53,794,4,1,"[0-8-6-6-5-5]","[5-9-0]"
1457,2,1,"[ 5,3 ]",3,3,"[ 1,5,3 ]",223,20216,207,22179,7,3,4,62,920.0,74,1109,0,4,"[0-7]","[7-5-5-5-5-0]"
1458,1,2,"[ 5 ]",2,2,"[ 2,5 ]",223,20234,219,20205,5,14,14,49,732.0,52,772,0,0,"[0-5]","[5-0]"
1462,1,1,"[ 2 ]",2,1,"[ 1,2 ]",226,20083,260,20567,5,2,4,40,598.0,45,668,0,0,"[0-5]","[5-0]"
1469,1,2,"[ 5 ]",2,3,"[ 2,5 ]",227,21411,120,22094,9,2,4,64,948.0,71,1063,2,0,"[0-5-5-9]","[9-0]"
1469,2,4,"[ 5 ]",2,2,"[ 4,5 ]",227,21411,162,21593,8,14,14,60,888.0,60,898,0,0,"[0-8]","[8-0]"
1476,1,1,"[ 3 ]",2,3,"[ 1,3 ]",229,21410,145,22113,6,2,4,48,718.0,52,772,0,0,"[0-6]","[6-0]"
1481,1,1,"[ 2 ]",2,3,"[ 1,2 ]",232,20819,124,21471,9,2,4,69,1033.0,76,1133,0,0,"[0-9]","[9-0]"
1481,2,1,"[ 3 ]",2,3,"[ 1,3 ]",232,20819,280,20910,9,2,4,77,1153.0,83,1238,0,0,"[0-9]","[9-0]"
1488,1,1,"[ 2 ]",2,1,"[ 1,2 ]",235,21369,159,21621,6,2,4,63,941.0,72,1070,0,2,"[0-6]","[6-5-5-0]"
1490,1,1,"[ 3 ]",2,3,"[ 1,3 ]",236,21292,18,22250,5,3,4,62,929.0,68,1014,0,5,"[0-5]","[5-5-5-5-5-5-0]"
1501,1,1,"[ 3 ]",2,3,"[ 1,3 ]",239,21213,18,22250,5,2,4,72,1075.0,79,1175,0,2,"[0-5]","[5-5-5-0]"
1505,1,1,"[ 2,3,4 ]",4,3,"[ 1,2,3,4 ]",240,21023,134,23208,6,3,4,56,835.0,74,1100,0,3,"[0-6]","[6-5-5-5-0]"
1506,1,2,"[ 1 ]",2,1,"[ 2,1 ]",240,21053,252,20308,6,3,4,27,394.0,29,434,0,0,"[0-6]","[6-0]"
1506,2,1,"[ 4 ]",2,3,"[ 1,4 ]",240,21053,281,20595,5,3,4,50,739.0,53,794,0,0,"[0-5]","[5-0]"
1510,1,1,"[ 3,8,4,6 ]",5,3,"[ 1,3,8,4,6 ]",243,20182,275,20947,6,3,4,24,350.0,35,524,0,5,"[0-6]","[6-5-5-5-5-5-0]"
1510,2,3,"[ 4,7,9 ]",4,3,"[ 3,4,7,9 ]",243,20182,222,20154,5,3,4,43,635.0,49,734,0,1,"[0-5]","[5-9-0]"
1514,1,3,"[ 4 ]",2,2,"[ 3,4 ]",244,20110,250,20498,8,16,16,60,892.0,68,1006,0,1,"[0-8]","[8-6-0]"
1520,1,1,"[ 2 ]",2,1,"[ 1,2 ]",247,20358,234,20818,9,3,4,56,831.0,62,916,0,0,"[0-9]","[9-0]"
1539,1,1,"[ 4 ]",2,3,"[ 1,4 ]",264,20905,264,20881,9,3,4,54,799.0,62,929,0,1,"[0-9]","[9-5-0]"
1543,1,1,"[ 3 ]",2,3,"[ 1,3 ]",264,20918,264,20904,8,2,4,62,923.0,69,1022,0,2,"[0-8]","[8-6-7-0]"
1549,1,1,"[ 4,3,7 ]",4,3,"[ 1,4,3,7 ]",265,20616,276,20919,5,3,4,64,947.0,69,1031,3,1,"[0-5-5-6-5]","[5-5-0]"
1549,2,2,"[ 6 ]",2,3,"[ 2,6 ]",265,20616,279,20591,8,2,4,62,917.0,73,1091,3,1,"[0-7-9-5-8]","[8-5-0]"
1563,1,1,"[ 2 ]",2,1,"[ 1,2 ]",265,20861,281,20595,5,2,4,68,1009.0,73,1094,0,3,"[0-5]","[5-6-9-7-0]"
1567,1,2,"[ 1 ]",2,1,"[ 2,1 ]",265,20861,268,20631,5,14,14,23,333.0,32,477,1,2,"[0-6-5]","[5-7-5-0]"
1575,1,2,"[ 4 ]",2,3,"[ 2,4 ]",274,20835,275,20947,6,3,4,70,1040.0,78,1169,0,1,"[0-6]","[6-7-0]"
1575,2,3,"[ 4 ]",2,2,"[ 3,4 ]",274,20835,286,21008,8,2,4,51,755.0,56,839,0,0,"[0-8]","[8-0]"
1576,1,1,"[ 2 ]",2,1,"[ 1,2 ]",274,20850,276,20926,5,3,4,58,870.0,64,954,0,4,"[0-5]","[5-5-5-5-6-0]"
1579,1,3,"[ 4 ]",2,2,"[ 3,4 ]",275,20947,266,20584,7,14,14,58,867.0,66,982,1,2,"[0-5-7]","[7-5-5-0]"
1583,1,2,"[ 1 ]",2,1,"[ 2,1 ]",279,20666,266,20627,7,2,4,60,892.0,76,1126,0,0,"[0-7]","[7-0]"
1584,1,1,"[ 2 ]",2,1,"[ 1,2 ]",279,20728,196,21863,5,3,4,63,933.0,71,1062,0,5,"[0-5]","[5-9-5-5-5-5-0]"
1596,1,2,"[ 1 ]",2,1,"[ 2,1 ]",280,20890,279,20764,5,2,4,27,400.0,39,575,0,5,"[0-5]","[5-5-5-5-5-5-0]"
1608,1,1,"[ 3 ]",2,3,"[ 1,3 ]",281,20642,262,20351,8,3,4,64,960.0,76,1134,0,0,"[0-8]","[8-0]"
1609,1,1,"[ 3 ]",2,3,"[ 1,3 ]",281,20667,253,20370,8,2,4,54,807.0,75,1117,0,5,"[0-8]","[8-7-5-9-5-5-0]"
1611,1,2,"[ 1 ]",2,1,"[ 2,1 ]",282,20823,266,20584,6,3,4,63,943.0,66,982,1,0,"[0-6-6]","[6-0]"
1614,1,2,"[ 3,1 ]",3,3,"[ 2,3,1 ]",284,20970,286,20972,5,3,4,59,878.0,70,1038,0,5,"[0-5]","[5-5-5-5-5-5-0]"
1617,1,1,"[ 2 ]",2,1,"[ 1,2 ]",286,20956,196,22045,6,2,4,29,426.0,36,526,1,1,"[0-6-6]","[6-5-0]"
1617,2,2,"[ 3 ]",2,1,"[ 2,3 ]",286,20956,276,20919,5,14,14,40,591.0,42,616,0,0,"[0-5]","[5-0]"
1625,1,1,"[ 3 ]",2,3,"[ 1,3 ]",293,21395,286,20946,6,3,4,72,1069.0,77,1154,0,3,"[0-6]","[6-6-6-6-0]"
1625,2,2,"[ 4 ]",2,3,"[ 2,4 ]",293,21395,389,22300,9,2,4,67,994.0,71,1064,0,1,"[0-9]","[9-6-0]"
1626,1,2,"[ 3 ]",2,1,"[ 2,3 ]",293,21397,18,22250,9,2,4,66,980.0,74,1110,0,2,"[0-9]","[9-5-5-0]"
1629,1,1,"[ 2 ]",2,1,"[ 1,2 ]",295,21445,18,22250,7,3,4,71,1065.0,75,1120,1,0,"[0-9-7]","[7-0]"
1630,1,1,"[ 3 ]",2,3,"[ 1,3 ]",295,21677,114,22791,9,3,4,61,905.0,62,929,0,0,"[0-9]","[9-0]"
1631,1,1,"[ 2 ]",2,1,"[ 1,2 ]",295,21677,137,22847,5,2,4,46,682.0,56,827,0,1,"[0-5]","[5-5-0]"
1631,2,2,"[ 3 ]",2,1,"[ 2,3 ]",295,21677,18,22250,5,2,4,33,487.0,41,602,1,4,"[0-5-5]","[5-5-5-5-5-0]"
1654,1,2,"[ 4,5 ]",3,3,"[ 2,4,5 ]",302,24629,321,25735,8,3,4,74,1099.0,84,1259,0,1,"[0-8]","[8-7-0]"
1655,1,1,"[ 4,5 ]",3,3,"[ 1,4,5 ]",302,24640,147,22458,5,3,4,62,927.0,74,1102,2,3,"[0-5-5-5]","[5-5-5-5-0]"
1657,1,1,"[ 2 ]",2,1,"[ 1,2 ]",302,24738,134,23208,6,2,4,68,1010.0,76,1140,0,4,"[0-6]","[6-6-6-7-5-0]"
1659,1,1,"[ 2 ]",2,1,"[ 1,2 ]",302,24810,67,24954,9,2,4,25,368.0,45,662,1,4,"[0-5-9]","[9-5-9-9-5-0]"
1660,1,1,"[ 2 ]",2,1,"[ 1,2 ]",302,24823,145,22113,5,2,4,44,653.0,60,887,1,3,"[0-6-5]","[5-7-6-5-0]"
1662,1,1,"[ 3 ]",2,3,"[ 1,3 ]",303,25040,137,22847,7,2,4,66,990.0,71,1059,0,0,"[0-7]","[7-0]"
1668,1,1,"[ 2 ]",2,1,"[ 1,2 ]",305,23574,18,22250,5,2,4,62,919.0,64,959,0,1,"[0-5]","[5-6-0]"
1670,1,1,"[ 2,5,3 ]",4,3,"[ 1,2,5,3 ]",305,24484,17,23643,7,3,4,77,1149.0,80,1188,0,0,"[0-7]","[7-0]"
1671,1,1,"[ 2 ]",2,1,"[ 1,2 ]",306,25011,186,23464,9,3,4,60,893.0,72,1067,0,2,"[0-9]","[9-5-5-0]"
1674,1,2,"[ 1 ]",2,1,"[ 2,1 ]",307,25285,48,25619,5,2,4,70,1046.0,73,1086,0,0,"[0-5]","[5-0]"
1674,2,2,"[ 4 ]",2,3,"[ 2,4 ]",307,25285,306,24986,9,2,4,59,881.0,68,1011,0,0,"[0-9]","[9-0]"
1692,1,2,"[ 3 ]",2,3,"[ 2,3 ]",314,26135,66,25124,9,3,4,64,948.0,74,1108,1,4,"[0-9-9]","[9-9-6-5-5-0]"
1697,1,1,"[ 2 ]",2,1,"[ 1,2 ]",316,25935,316,25945,9,3,4,63,934.0,75,1124,0,1,"[0-9]","[9-5-0]"
1714,1,2,"[ 1 ]",2,1,"[ 2,1 ]",326,26411,339,26247,9,3,4,54,801.0,60,900,0,0,"[0-9]","[9-0]"
1714,2,2,"[ 3 ]",2,1,"[ 2,3 ]",326,26411,317,25898,6,3,4,37,546.0,42,630,2,3,"[0-6-6-6]","[6-7-7-6-0]"
1720,1,1,"[ 2 ]",2,1,"[ 1,2 ]",328,26442,334,26671,7,3,4,68,1010.0,75,1124,0,3,"[0-7]","[7-6-5-5-0]"
1728,1,2,"[ 1 ]",2,1,"[ 2,1 ]",328,26488,336,26636,6,3,4,34,508.0,43,638,1,4,"[0-6-6]","[6-6-5-8-7-0]"
1730,1,1,"[ 8 ]",2,3,"[ 1,8 ]",330,26532,336,26619,9,2,4,3,37.0,17,242,0,0,"[0-9]","[9-0]"
1730,2,1,"[ 8 ]",2,3,"[ 1,8 ]",330,26532,331,26528,9,3,4,70,1042.0,80,1187,1,3,"[0-5-9]","[9-5-5-5-0]"
1734,1,2,"[ 3 ]",2,1,"[ 2,3 ]",331,26528,336,26609,6,3,4,28,414.0,37,544,1,3,"[0-9-6]","[6-6-6-5-0]"
