uniqueid,jointTripNum,hhid,pnum,userClass,tourNum,tourSubTourNum,personTripNum,tourTripNum,mainTourTripNum,subTourTripNum,jointTourNum,jointTripRole,direction,obBundleNum,ibBundleNum,escortingRole,jointSpecEvtTour,party,origTaz,origMaz,destTaz,destMaz,origPurp,destPurp,mode,prelimDepartInterval,finalDepartMinute,tripDistance,prelimArriveInterval,finalArriveMinute,activityMinutesAtDest,pnrParkTaz,pnrParkMaz, vot
11,0,476,2,2,2,0,5,3,3,0,0,0,2,0,0,0,0,"[ 2 ]",441,441,91,25369,1,0,1,51,757.3799048922532,5.57,52,767.57,662.31,0,0,13.580462930770773
12,0,476,3,1,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 3 ]",91,25369,208,22473,0,15,1,19,277.37990489225314,15.73,21,301.56,6.20,0,0,4.626214347875254
13,0,476,3,1,1,0,2,2,2,0,0,0,1,0,0,0,0,"[ 3 ]",208,22473,18,22250,15,72,1,21,307.87990489225314,1.10,21,310.20,4.74,0,0,4.626214347875254
14,0,476,3,1,1,0,3,3,3,0,0,0,1,0,0,0,0,"[ 3 ]",18,22250,206,22363,72,1,1,22,315.0598975680344,1.09,22,317.34,499.92,0,0,4.626214347875254
15,0,476,3,1,1,0,4,4,4,0,0,0,2,0,0,0,0,"[ 3 ]",206,22363,91,25369,1,0,1,55,817.3799048922532,16.15,57,847.83,194.43,0,0,4.626214347875254
16,0,476,3,3,2,0,5,1,1,0,0,0,1,0,0,0,0,"[ 3 ]",91,25369,67,24954,0,9,1,70,1042.379904892253,8.02,71,1055.41,190.81,0,0,1.8289323277657155
17,0,476,3,3,2,0,6,2,2,0,0,0,2,0,0,0,0,"[ 3 ]",67,24954,91,25369,9,0,1,84,1246.339865829753,8.02,85,1259.55,170.33,0,0,1.8289323277657155
18,0,476,4,3,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 4 ]",91,25369,174,25163,0,5,1,10,142.37990489225314,7.63,11,154.93,50.13,0,0,9.758313589190584
19,0,476,4,3,1,0,2,2,2,0,0,0,2,0,0,0,0,"[ 4 ]",174,25163,172,25193,5,62,1,14,205.17990794401095,0.72,14,207.21,4.29,0,0,9.758313589190584
20,0,476,4,3,1,0,3,3,3,0,0,0,2,0,0,0,0,"[ 4 ]",172,25193,91,25369,62,0,1,15,211.6199103854172,7.88,16,225.08,37.18,0,0,9.758313589190584
21,0,476,4,3,2,0,4,1,1,0,0,0,1,0,0,0,0,"[ 4 ]",91,25369,87,25067,0,3,1,18,262.37990489225314,5.04,19,273.31,468.95,0,0,9.758313589190584
22,0,476,4,3,2,0,5,2,2,0,0,0,2,0,0,0,0,"[ 4 ]",87,25067,87,24788,3,42,1,50,742.3799048922532,0.76,50,743.83,4.95,0,0,9.758313589190584
23,0,476,4,3,2,0,6,3,3,0,0,0,2,0,0,0,0,"[ 4 ]",87,24788,91,25369,42,0,2,50,748.8999244235032,5.04,51,759.83,207.43,0,0,9.758313589190584
24,0,476,4,3,3,0,7,1,1,0,0,0,1,0,0,0,0,"[ 4 ]",91,25369,370,25908,0,9,1,65,967.3799048922532,4.20,66,974.65,9.21,0,0,9.758313589190584
25,0,476,4,3,3,0,8,2,2,0,0,0,2,0,0,0,0,"[ 4 ]",370,25908,91,25369,9,0,1,66,983.9798804781907,4.20,67,991.25,438.63,0,0,9.758313589190584
26,0,476,5,3,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 5 ]",91,25369,219,20205,0,3,4,18,262.37990489225314,22.47,21,297.33,399.93,0,0,7.479719634420113
27,0,476,5,3,1,0,2,2,2,0,0,0,2,0,0,0,0,"[ 5 ]",219,20205,91,25369,3,0,4,47,697.3799048922532,22.47,50,735.95,693.93,0,0,7.479719634420113
28,1,476,6,3,1,0,1,1,1,0,0,0,1,1,0,2,0,"[ 2,6 ]",91,25369,56,24451,0,3,4,15,217.37990489225314,9.86,16,232.26,630.00,0,0,18.595764359912266
29,0,476,6,3,1,0,2,2,2,0,0,0,2,0,0,0,0,"[ 6 ]",56,24451,91,25369,3,0,4,58,862.3799048922532,9.86,59,879.13,550.75,0,0,18.595764359912266
1,0,477,1,3,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 1 ]",91,25546,101,22333,0,62,3,30,444.0012772533527,11.46,32,464.75,27.83,0,0,18.579155753718524
2,0,477,1,3,1,0,2,2,2,0,0,0,2,0,0,0,0,"[ 1 ]",101,22333,91,25546,62,0,3,33,491.08126382561835,11.46,35,511.36,114.14,0,0,18.579155753718524
3,0,477,1,3,2,0,3,1,1,0,0,0,1,0,0,0,0,"[ 1 ]",91,25546,174,25163,0,5,3,42,624.0012772533528,7.63,43,636.55,-11.05,0,0,18.579155753718524
4,0,477,1,3,2,0,4,2,2,0,0,0,1,0,0,0,0,"[ 1 ]",174,25163,358,26241,5,411,3,42,624.0012772533528,9.61,43,638.14,17.26,0,0,18.579155753718524
5,1,477,1,3,2,0,5,3,3,0,0,0,2,0,1,1,0,"[ 1,3 ]",358,26241,91,25546,411,0,3,44,653.9013016674153,12.45,46,674.52,145.98,0,0,18.579155753718524
6,2,477,1,3,3,0,6,1,1,0,1,1,1,0,0,0,0,"[ 1,5,3 ]",91,25546,145,22113,0,5,3,55,819.0012772533528,16.87,57,847.50,11.74,0,0,18.579155753718524
7,3,477,1,3,3,0,7,2,2,0,1,1,1,0,0,0,0,"[ 1,5,3 ]",145,22113,207,22179,5,5,3,58,857.7412674877278,2.30,58,860.50,8.34,0,0,18.579155753718524
8,4,477,1,3,3,0,8,3,3,0,1,1,1,0,0,0,0,"[ 1,5,3 ]",207,22179,144,22884,5,6,3,58,867.3412430736653,1.63,58,870.50,35.28,0,0,18.579155753718524
9,5,477,1,3,3,0,9,4,4,0,1,1,2,0,0,0,0,"[ 1,5,3 ]",144,22884,91,25546,6,0,3,61,904.2813065502278,14.86,63,931.50,500.00,0,0,18.579155753718524
10,0,477,2,3,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 2 ]",91,25546,174,25159,0,71,4,13,189.00127725335273,7.63,14,201.55,43.69,0,0,3.858832926939077
11,0,477,2,3,1,0,2,2,2,0,0,0,2,0,0,0,0,"[ 2 ]",174,25159,91,25546,71,0,4,17,243.7412827465168,7.63,18,256.29,24.21,0,0,3.858832926939077
12,6,477,2,3,2,0,3,1,1,0,0,0,1,1,0,1,0,"[ 2,4,6 ]",91,25546,87,25067,0,411,3,19,279.0012772533527,5.04,20,289.93,5.65,0,0,3.858832926939077
13,7,477,2,3,2,0,4,2,2,0,0,0,1,1,0,1,0,"[ 2,6 ]",87,25067,87,25067,411,411,3,20,294.08126382561835,0.76,20,295.53,6.57,0,0,3.858832926939077
14,0,477,2,3,2,0,5,3,3,0,0,0,2,0,0,0,0,"[ 2 ]",87,25067,66,25124,411,9,1,20,300.60128335686835,4.55,21,306.54,9.66,0,0,3.858832926939077
15,0,477,2,3,2,0,6,4,4,0,0,0,2,0,0,0,0,"[ 2 ]",66,25124,357,25889,9,5,1,21,314.701289460384,6.84,22,322.37,12.51,0,0,3.858832926939077
16,0,477,2,3,2,0,7,5,5,0,0,0,2,0,0,0,0,"[ 2 ]",357,25889,392,25443,5,8,1,23,333.3812821361652,5.71,23,339.49,6.51,0,0,3.858832926939077
17,0,477,2,3,2,0,8,6,6,0,0,0,2,0,0,0,0,"[ 2 ]",66,25124,91,25546,8,0,1,23,344.5012772533527,8.24,24,356.96,28.54,0,0,3.858832926939077
18,0,477,2,3,3,0,9,1,1,0,0,0,1,0,0,0,0,"[ 2 ]",91,25546,174,25163,0,61,1,26,384.0012772533527,7.63,27,396.55,298.69,0,0,3.858832926939077
19,0,477,2,3,3,0,10,2,2,0,0,0,2,0,0,0,0,"[ 2 ]",174,25163,91,25546,61,0,1,47,693.7412674877278,7.63,48,706.30,24.20,0,0,3.858832926939077
20,0,477,2,3,4,0,11,1,1,0,0,0,1,0,0,0,0,"[ 2 ]",91,25546,87,25067,0,411,1,49,729.0012772533528,5.04,50,739.93,5.65,0,0,3.858832926939077
21,8,477,2,3,4,0,12,2,2,0,0,0,2,0,2,1,0,"[ 2,6 ]",87,25067,91,25546,411,0,2,50,744.0812943431965,5.04,51,755.01,200.49,0,0,3.858832926939077
22,9,477,2,3,5,0,13,1,1,0,2,1,1,0,0,0,0,"[ 2,5,4 ]",91,25546,174,25197,0,5,3,64,954.0012772533528,7.63,65,966.50,9.26,0,0,3.858832926939077
23,10,477,2,3,5,0,14,2,2,0,2,1,1,0,0,0,0,"[ 2,5,4 ]",174,25197,167,24667,5,5,3,65,974.2612870189778,3.95,66,980.50,23.04,0,0,3.858832926939077
24,11,477,2,3,5,0,15,3,3,0,2,1,2,0,0,0,0,"[ 2,5,4 ]",167,24667,91,25546,5,0,3,67,1002.0412552806965,10.98,69,1018.50,413.00,0,0,3.858832926939077
25,0,477,3,3,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 3 ]",91,25546,358,26241,0,3,4,16,234.00127725335273,12.45,18,251.45,403.95,0,0,4.62295241982867
26,1,477,3,3,1,0,2,2,2,0,0,0,2,0,1,2,0,"[ 1,3 ]",358,26241,91,25546,3,0,4,44,653.9013016674153,12.45,46,674.52,55.98,0,0,4.62295241982867
27,0,477,3,3,2,0,3,1,1,0,0,0,1,0,0,0,0,"[ 3 ]",91,25546,67,25061,0,72,1,49,729.0012772533528,8.02,50,742.03,-2.57,0,0,4.62295241982867
28,0,477,3,3,2,0,4,2,2,0,0,0,2,0,0,0,0,"[ 3 ]",67,25061,91,25546,72,0,1,50,737.961299226009,8.02,51,751.18,69.32,0,0,4.62295241982867
29,2,477,3,3,3,0,5,1,1,0,1,2,1,0,0,0,0,"[ 1,5,3 ]",91,25546,145,22113,0,5,4,55,819.0012772533528,16.87,57,847.50,11.74,0,0,4.62295241982867
30,3,477,3,3,3,0,6,2,2,0,1,2,1,0,0,0,0,"[ 1,5,3 ]",145,22113,207,22179,5,5,4,58,857.7412674877278,2.30,58,860.50,8.34,0,0,4.62295241982867
31,4,477,3,3,3,0,7,3,3,0,1,2,1,0,0,0,0,"[ 1,5,3 ]",207,22179,144,22884,5,6,4,58,867.3412430736653,1.63,58,870.50,35.28,0,0,4.62295241982867
32,5,477,3,3,3,0,8,4,4,0,1,2,2,0,0,0,0,"[ 1,5,3 ]",144,22884,91,25546,6,0,4,61,904.2813065502278,14.86,63,931.50,54.00,0,0,4.62295241982867
33,0,477,3,3,4,0,9,1,1,0,0,0,1,0,0,0,0,"[ 3 ]",91,25546,193,22267,0,73,1,66,984.0012772533528,13.26,68,1007.34,154.28,0,0,4.62295241982867
34,0,477,3,3,4,0,10,2,2,0,0,0,2,0,0,0,0,"[ 3 ]",193,22267,369,25911,73,9,1,78,1160.1212723705403,16.01,80,1188.45,10.19,0,0,4.62295241982867
35,0,477,3,3,4,0,11,3,3,0,0,0,2,0,0,0,0,"[ 3 ]",369,25911,91,25546,9,0,1,80,1197.1412919017903,3.43,81,1203.65,227.85,0,0,4.62295241982867
36,6,477,4,3,1,0,1,1,1,0,0,0,1,1,0,2,0,"[ 2,4,6 ]",91,25546,87,25067,0,3,4,19,279.0012772533527,5.04,20,289.93,425.57,0,0,0.795855796136411
37,0,477,4,3,1,0,2,2,2,0,0,0,2,0,0,0,0,"[ 4 ]",87,25067,91,25546,3,0,4,48,714.0012772533528,5.04,49,724.93,230.57,0,0,0.795855796136411
38,9,477,4,3,2,0,3,1,1,0,2,2,1,0,0,0,0,"[ 2,5,4 ]",91,25546,174,25197,0,5,4,64,954.0012772533528,7.63,65,966.50,9.26,0,0,0.795855796136411
39,10,477,4,3,2,0,4,2,2,0,2,2,1,0,0,0,0,"[ 2,5,4 ]",174,25197,167,24667,5,5,4,65,974.2612870189778,3.95,66,980.50,23.04,0,0,0.795855796136411
40,11,477,4,3,2,0,5,3,3,0,2,2,2,0,0,0,0,"[ 2,5,4 ]",167,24667,91,25546,5,0,4,67,1002.0412552806965,10.98,69,1018.50,413.00,0,0,0.795855796136411
41,0,477,5,3,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 5 ]",91,25546,146,22284,0,8,4,48,714.0012772533528,14.23,50,742.60,23.44,0,0,8.085596416113399
42,0,477,5,3,1,0,2,2,2,0,0,0,2,0,0,0,0,"[ 5 ]",146,22284,80,24111,8,42,4,51,764.5412552806965,5.95,52,780.43,2.51,0,0,8.085596416113399
43,0,477,5,3,1,0,3,3,3,0,0,0,2,0,0,0,0,"[ 5 ]",80,24111,91,25546,42,0,4,52,781.441279694759,8.78,54,795.98,24.52,0,0,8.085596416113399
44,2,477,5,3,2,0,4,1,1,0,1,2,1,0,0,0,0,"[ 1,5,3 ]",91,25546,145,22113,0,5,4,55,819.0012772533528,16.87,57,847.50,11.74,0,0,8.085596416113399
45,3,477,5,3,2,0,5,2,2,0,1,2,1,0,0,0,0,"[ 1,5,3 ]",145,22113,207,22179,5,5,4,58,857.7412674877278,2.30,58,860.50,8.34,0,0,8.085596416113399
46,4,477,5,3,2,0,6,3,3,0,1,2,1,0,0,0,0,"[ 1,5,3 ]",207,22179,144,22884,5,6,4,58,867.3412430736653,1.63,58,870.50,35.28,0,0,8.085596416113399
47,5,477,5,3,2,0,7,4,4,0,1,2,2,0,0,0,0,"[ 1,5,3 ]",144,22884,91,25546,6,0,4,61,904.2813065502278,14.86,63,931.50,24.00,0,0,8.085596416113399
48,9,477,5,3,3,0,8,1,1,0,2,2,1,0,0,0,0,"[ 2,5,4 ]",91,25546,174,25197,0,5,4,64,954.0012772533528,7.63,65,966.50,9.26,0,0,8.085596416113399
49,10,477,5,3,3,0,9,2,2,0,2,2,1,0,0,0,0,"[ 2,5,4 ]",174,25197,167,24667,5,5,4,65,974.2612870189778,3.95,66,980.50,23.04,0,0,8.085596416113399
50,11,477,5,3,3,0,10,3,3,0,2,2,2,0,0,0,0,"[ 2,5,4 ]",167,24667,91,25546,5,0,4,67,1002.0412552806965,10.98,69,1018.50,413.00,0,0,8.085596416113399
51,0,477,6,3,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 6 ]",91,25546,66,25124,0,71,1,16,234.00127725335273,8.24,17,246.46,42.56,0,0,7.166750284286537
52,0,477,6,3,1,0,2,2,2,0,0,0,2,0,0,0,0,"[ 6 ]",66,25124,91,25546,71,0,1,20,287.5212662670246,8.24,21,299.98,-19.48,0,0,7.166750284286537
53,6,477,6,3,2,0,3,1,1,0,0,0,1,1,0,2,0,"[ 2,4,6 ]",91,25546,87,25067,0,411,4,19,279.0012772533527,5.04,20,289.93,5.65,0,0,7.166750284286537
54,7,477,6,3,2,0,4,2,2,0,0,0,1,1,0,2,0,"[ 2,6 ]",87,25067,87,25067,411,3,4,20,294.08126382561835,0.76,20,295.53,450.05,0,0,7.166750284286537
55,8,477,6,3,2,0,5,3,3,0,0,0,2,0,2,2,0,"[ 2,6 ]",87,25067,91,25546,3,0,4,50,744.0812943431965,5.04,51,755.01,260.49,0,0,7.166750284286537
56,0,477,6,3,3,0,6,1,1,0,0,0,1,0,0,0,0,"[ 6 ]",91,25546,67,25058,0,73,1,68,1014.0012772533528,8.02,69,1027.03,57.43,0,0,7.166750284286537
57,0,477,6,3,3,0,7,2,2,0,0,0,2,0,0,0,0,"[ 6 ]",67,25058,91,25546,73,0,1,73,1082.9612381908528,8.02,74,1096.17,335.33,0,0,7.166750284286537
1,1,479,1,3,1,0,1,1,1,0,0,0,1,1,0,1,0,"[ 1,4,5 ]",94,23489,53,24076,0,411,3,18,255.10516421035626,1.42,18,259.03,-3.47,0,0,4.116547377202969
2,2,479,1,3,1,0,2,2,2,0,0,0,1,1,0,1,0,"[ 1,5 ]",53,24076,94,23540,411,411,2,19,262.9451605482469,1.44,19,267.00,-3.56,0,0,4.116547377202969
3,0,479,1,3,1,0,3,3,3,0,0,0,2,0,0,0,0,"[ 1 ]",94,23540,92,23753,411,61,1,19,270.8251654310594,0.50,19,272.26,-2.82,0,0,4.116547377202969
4,0,479,1,3,1,0,4,4,4,0,0,0,2,0,0,0,0,"[ 1 ]",92,23753,13,23856,61,72,1,19,276.8251654310594,0.19,19,277.47,-7.25,0,0,4.116547377202969
5,0,479,1,3,1,0,5,5,5,0,0,0,2,0,0,0,0,"[ 1 ]",94,23540,94,23489,72,0,1,19,277.6051642103563,0.14,20,278.01,404.71,0,0,4.116547377202969
6,0,479,1,3,2,0,6,1,1,0,0,0,1,0,0,0,0,"[ 1 ]",94,23489,53,24076,0,411,1,47,690.1051642103563,1.42,47,694.03,-3.47,0,0,4.116547377202969
7,3,479,1,3,2,0,7,2,2,0,0,0,2,0,1,1,0,"[ 1,4 ]",53,24076,94,23489,411,0,2,48,697.945191065825,1.44,48,702.19,720.42,0,0,4.116547377202969
8,0,479,2,3,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 2 ]",94,23489,67,25058,0,72,1,31,450.1051642103563,2.56,31,456.08,222.50,0,0,18.059055187309998
9,0,479,2,3,1,0,2,2,2,0,0,0,2,0,0,0,0,"[ 2 ]",67,25058,146,22284,72,8,1,47,685.9651495619188,7.85,48,700.61,-1.33,0,0,18.059055187309998
10,0,479,2,3,1,0,3,3,3,0,0,0,2,0,0,0,0,"[ 2 ]",146,22284,94,23489,8,0,1,48,706.66516176895,4.22,49,717.97,704.64,0,0,18.059055187309998
11,0,479,3,3,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 3 ]",94,23489,193,22404,0,3,4,18,255.10516421035626,2.29,18,260.82,436.90,0,0,4.420127275414439
12,0,479,3,3,1,0,2,2,2,0,0,0,2,0,0,0,0,"[ 3 ]",193,22404,94,23489,3,0,4,48,705.1051642103563,2.29,48,710.86,711.75,0,0,4.420127275414439
13,1,479,4,3,1,0,1,1,1,0,0,0,1,1,0,2,0,"[ 1,4,5 ]",94,23489,53,24076,0,3,4,18,255.10516421035626,1.42,18,259.03,431.53,0,0,6.276584905991527
14,3,479,4,3,1,0,2,2,2,0,0,0,2,0,1,2,0,"[ 1,4 ]",53,24076,94,23489,3,0,4,48,697.945191065825,1.44,48,702.19,720.42,0,0,6.276584905991527
15,1,479,5,3,1,0,1,1,1,0,0,0,1,1,0,2,0,"[ 1,4,5 ]",94,23489,53,24076,0,411,4,18,255.10516421035626,1.42,18,259.03,-3.47,0,0,3.9862534212749505
16,2,479,5,3,1,0,2,2,2,0,0,0,1,1,0,2,0,"[ 1,5 ]",53,24076,94,23540,411,3,4,19,262.9451605482469,1.44,19,267.00,505.72,0,0,3.9862534212749505
17,0,479,5,3,1,0,3,3,3,0,0,0,2,0,0,0,0,"[ 5 ]",94,23540,176,23219,3,8,4,53,780.1051642103563,1.03,53,782.91,-3.13,0,0,3.9862534212749505
18,0,479,5,3,1,0,4,4,4,0,0,0,2,0,0,0,0,"[ 5 ]",176,23219,94,23489,8,0,4,53,787.16516176895,1.03,54,790.07,632.54,0,0,3.9862534212749505
1,0,480,1,1,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 1 ]",94,23491,62,24779,0,1,1,21,302.15424440793817,2.45,21,308.24,363.56,0,0,6.975414996903482
2,0,480,1,1,1,0,2,2,2,0,0,0,2,0,0,0,0,"[ 1 ]",62,24779,94,23491,1,0,1,46,677.1542444079382,2.54,46,683.60,741.05,0,0,6.975414996903482
3,0,480,2,1,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 2 ]",94,23491,187,23715,0,1,1,30,437.15424440793817,1.00,30,440.23,36.57,0,0,4.361176269947487
4,0,480,2,3,1,1,2,1,0,1,0,0,1,0,0,0,0,"[ 2 ]",187,23715,109,23712,1,15,14,33,482.15424440793817,0.27,33,487.55,121.21,0,0,3.1269412588398238
5,0,480,2,3,1,1,3,2,0,2,0,0,2,0,0,0,0,"[ 2 ]",109,23712,187,23715,15,1,14,42,614.1142663805945,0.27,42,619.51,352.29,0,0,3.1269412588398238
6,0,480,2,1,1,0,4,2,2,0,0,0,2,0,0,0,0,"[ 2 ]",187,23715,94,23491,1,0,1,66,977.1542444079382,0.86,66,979.58,445.07,0,0,4.361176269947487
7,0,480,4,3,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 4 ]",94,23491,393,22335,0,3,17,16,227.15424440793817,3.82,17,235.39,826.41,0,0,1.7591723262984544
8,0,480,4,3,1,0,2,2,2,0,0,0,2,0,0,0,0,"[ 4 ]",393,22335,94,23491,3,0,17,72,1067.1542444079382,3.82,73,1075.35,349.30,0,0,1.7591723262984544
9,0,480,5,3,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 5 ]",94,23491,53,24076,0,3,17,16,227.15424440793817,1.42,16,231.07,455.73,0,0,8.357668684562414
10,0,480,5,3,1,0,2,2,2,0,0,0,2,0,0,0,0,"[ 5 ]",53,24076,94,23491,3,0,17,47,692.1542444079382,1.44,47,696.39,728.26,0,0,8.357668684562414
1,0,481,1,2,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 1 ]",94,23653,6,23796,0,1,1,28,411.4151064384103,0.89,28,414.42,130.92,0,0,29.98112177202753
2,0,481,1,2,1,0,2,2,2,0,0,0,2,0,0,0,0,"[ 1 ]",6,23796,94,23653,1,0,1,37,546.4151064384104,1.01,37,549.63,295.71,0,0,29.98112177202753
3,0,481,1,2,2,0,3,1,1,0,0,0,1,0,0,0,0,"[ 1 ]",94,23653,6,23796,0,1,1,57,846.4151064384104,0.89,57,849.25,221.09,0,0,29.98112177202753
4,0,481,1,2,2,0,4,2,2,0,0,0,2,0,0,0,0,"[ 1 ]",6,23796,94,23653,1,0,1,72,1071.4151064384102,1.01,72,1074.35,10.99,0,0,29.98112177202753
5,1,481,1,3,3,0,5,1,1,0,1,1,1,0,0,0,0,"[ 1,2,3 ]",94,23653,134,23208,0,6,3,73,1086.4151064384102,1.20,73,1088.92,3.82,0,0,46.33022587834899
6,2,481,1,3,3,0,6,2,2,0,1,1,1,0,0,0,0,"[ 1,2,3 ]",134,23208,134,23283,6,6,3,73,1093.8151308524727,0.12,74,1093.92,49.66,0,0,46.33022587834899
7,3,481,1,3,3,0,7,3,3,0,1,1,2,0,0,0,0,"[ 1,2,3 ]",134,23283,184,23323,6,6,3,77,1144.6552187430977,0.29,77,1144.92,4.24,0,0,46.33022587834899
8,4,481,1,3,3,0,8,4,4,0,1,1,2,0,0,0,0,"[ 1,2,3 ]",184,23323,134,23155,6,6,3,77,1150.2351747977852,0.29,77,1150.92,3.82,0,0,46.33022587834899
9,5,481,1,3,3,0,9,5,5,0,1,1,2,0,0,0,0,"[ 1,2,3 ]",134,23155,194,22474,6,7,3,78,1155.8151308524727,2.18,78,1160.92,3.18,0,0,46.33022587834899
10,6,481,1,3,3,0,10,6,6,0,1,1,2,0,0,0,0,"[ 1,2,3 ]",194,22474,67,25061,7,7,3,78,1165.1751162040352,5.47,79,1178.92,1.12,0,0,46.33022587834899
11,7,481,1,3,3,0,11,7,7,0,1,1,2,0,0,0,0,"[ 1,2,3 ]",67,25061,94,23653,7,0,3,79,1181.1150576102852,2.65,80,1186.92,242.00,0,0,46.33022587834899
12,0,481,2,2,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 2 ]",94,23653,116,22461,0,1,1,11,156.4151064384103,1.83,11,161.08,339.26,0,0,12.947264904580427
13,0,481,2,3,1,1,2,1,0,1,0,0,1,0,0,0,0,"[ 2 ]",116,22461,116,22752,1,15,1,34,501.4151064384103,0.25,34,502.13,70.21,0,0,12.089063469624955
14,0,481,2,3,1,1,3,2,0,2,0,0,2,0,0,0,0,"[ 2 ]",116,22752,116,22461,15,1,1,39,573.4151064384104,0.25,39,574.13,61.21,0,0,12.089063469624955
15,0,481,2,2,1,0,4,2,2,0,0,0,2,0,0,0,0,"[ 2 ]",116,22461,94,23653,1,0,1,43,636.4151064384104,1.83,43,641.15,444.19,0,0,12.947264904580427
16,1,481,2,3,2,0,5,1,1,0,1,2,1,0,0,0,0,"[ 1,2,3 ]",94,23653,134,23208,0,6,4,73,1086.4151064384102,1.20,73,1088.92,3.82,0,0,12.089063469624955
17,2,481,2,3,2,0,6,2,2,0,1,2,1,0,0,0,0,"[ 1,2,3 ]",134,23208,134,23283,6,6,4,73,1093.8151308524727,0.12,74,1093.92,49.66,0,0,12.089063469624955
18,3,481,2,3,2,0,7,3,3,0,1,2,2,0,0,0,0,"[ 1,2,3 ]",134,23283,184,23323,6,6,4,77,1144.6552187430977,0.29,77,1144.92,4.24,0,0,12.089063469624955
19,4,481,2,3,2,0,8,4,4,0,1,2,2,0,0,0,0,"[ 1,2,3 ]",184,23323,134,23155,6,6,4,77,1150.2351747977852,0.29,77,1150.92,3.82,0,0,12.089063469624955
20,5,481,2,3,2,0,9,5,5,0,1,2,2,0,0,0,0,"[ 1,2,3 ]",134,23155,194,22474,6,7,4,78,1155.8151308524727,2.18,78,1160.92,3.18,0,0,12.089063469624955
21,6,481,2,3,2,0,10,6,6,0,1,2,2,0,0,0,0,"[ 1,2,3 ]",194,22474,67,25061,7,7,4,78,1165.1751162040352,5.47,79,1178.92,1.12,0,0,12.089063469624955
22,7,481,2,3,2,0,11,7,7,0,1,2,2,0,0,0,0,"[ 1,2,3 ]",67,25061,94,23653,7,0,4,79,1181.1150576102852,2.65,80,1186.92,242.00,0,0,12.089063469624955
23,0,481,3,3,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 3 ]",94,23653,94,23540,0,3,14,19,276.4151064384103,0.14,19,279.22,416.12,0,0,20.98785292793379
24,0,481,3,3,1,0,2,2,2,0,0,0,2,0,0,0,0,"[ 3 ]",94,23540,94,23653,3,0,14,47,696.4151064384104,0.14,47,699.22,386.12,0,0,20.98785292793379
25,1,481,3,3,2,0,3,1,1,0,1,2,1,0,0,0,0,"[ 1,2,3 ]",94,23653,134,23208,0,6,4,73,1086.4151064384102,1.20,73,1088.92,3.82,0,0,20.98785292793379
26,2,481,3,3,2,0,4,2,2,0,1,2,1,0,0,0,0,"[ 1,2,3 ]",134,23208,134,23283,6,6,4,73,1093.8151308524727,0.12,74,1093.92,49.66,0,0,20.98785292793379
27,3,481,3,3,2,0,5,3,3,0,1,2,2,0,0,0,0,"[ 1,2,3 ]",134,23283,184,23323,6,6,4,77,1144.6552187430977,0.29,77,1144.92,4.24,0,0,20.98785292793379
28,4,481,3,3,2,0,6,4,4,0,1,2,2,0,0,0,0,"[ 1,2,3 ]",184,23323,134,23155,6,6,4,77,1150.2351747977852,0.29,77,1150.92,3.82,0,0,20.98785292793379
29,5,481,3,3,2,0,7,5,5,0,1,2,2,0,0,0,0,"[ 1,2,3 ]",134,23155,194,22474,6,7,4,78,1155.8151308524727,2.18,78,1160.92,3.18,0,0,20.98785292793379
30,6,481,3,3,2,0,8,6,6,0,1,2,2,0,0,0,0,"[ 1,2,3 ]",194,22474,67,25061,7,7,4,78,1165.1751162040352,5.47,79,1178.92,1.12,0,0,20.98785292793379
31,7,481,3,3,2,0,9,7,7,0,1,2,2,0,0,0,0,"[ 1,2,3 ]",67,25061,94,23653,7,0,4,79,1181.1150576102852,2.65,80,1186.92,242.00,0,0,20.98785292793379
32,0,481,4,3,1,0,1,1,1,0,0,0,1,0,0,0,0,"[ 4 ]",94,23653,94,23540,0,3,17,17,246.4151064384103,0.14,17,246.82,583.52,0,0,7.953328122398496
33,0,481,4,3,1,0,2,2,2,0,0,0,2,0,0,0,0,"[ 4 ]",94,23540,120,22094,3,8,17,56,831.4151064384104,3.51,56,838.30,4.06,0,0,7.953328122398496
34,0,481,4,3,1,0,3,3,3,0,0,0,2,0,0,0,0,"[ 4 ]",120,22094,94,23653,8,0,17,57,843.4351259696604,3.51,57,850.35,578.57,0,0,7.953328122398496
